mode,regime,act,width,n_pairs,B,t_star,rho_A,rho_mid,rho_max,rho_at_tstar,acc_mid,flen_A,flen_mid,flen_B,flen_at_tstar,rq_mid,R_end,R_mid,R_tstar,fd_instab
cnn,mup,gelu,1,10,2.3861160000000003,0.5,0.037775,0.69135825,0.69279815,0.69279815,0.50125,,,,,,,,,
cnn,mup,gelu,2,10,0.6912310500000001,0.5,0.006792761,0.25279265,0.2534863,0.25282315,0.8297,,,,,,,,,
cnn,mup,gelu,4,10,0.35971285,0.5,0.002710571,0.1428291,0.1428291,0.1428291,0.90645,,,,,,,,,
cnn,mup,gelu,8,10,0.20293024999999998,0.5,0.002376828,0.101804445,0.101804445,0.101804445,0.9357,,,,,,,,,
cnn,mup,softplus,1,10,1.0356043499999998,0.5,0.1330781,0.521571,0.5220144,0.5220144,0.6249,,,,,,,,,
cnn,mup,softplus,2,10,0.5275022,0.5,0.11293005,0.3262764,0.32749605000000004,0.32717304999999997,0.7897000000000001,,,,,,,,,
cnn,mup,softplus,4,10,0.3852019,0.5,0.1022195,0.26663230000000004,0.26805619999999997,0.267852,0.8303,,,,,,,,,
cnn,mup,softplus,8,10,0.27678505,0.5,0.1040929,0.22234225000000002,0.2223717,0.22232125,0.86375,,,,,,,,,
cnn,mup,swish,1,10,2.0746065,0.5125,0.0394217,0.57940975,0.5812071,0.5812071,0.58385,,,,,,,,,
cnn,mup,swish,2,10,0.89300845,0.4875,0.005639237,0.2924431,0.29391924999999997,0.2935144,0.7985,,,,,,,,,
cnn,mup,swish,4,10,0.40024895,0.5,0.003060191,0.14996925,0.1510387,0.1510387,0.8988,,,,,,,,,
cnn,mup,swish,8,10,0.20888075,0.5,0.002722237,0.100041825,0.10017678999999999,0.100163625,0.9365000000000001,,,,,,,,,
cnn,mup,tanh,1,10,2.182077,0.5,0.06804304,0.6864555,0.69049505,0.69049505,0.4968,,,,,,,,,
cnn,mup,tanh,2,10,1.1653485,0.5,0.028779449999999998,0.4407533,0.44692995,0.44466255,0.6940500000000001,,,,,,,,,
cnn,mup,tanh,4,10,0.6954184,0.5,0.007476953,0.2770348,0.27729845,0.27696615,0.8161499999999999,,,,,,,,,
cnn,mup,tanh,8,10,0.3753938,0.5,0.0029840394999999997,0.1658946,0.16613205,0.16613205,0.8951,,,,,,,,,
cnn,ntk,gelu,1,10,5.5127575,0.5,0.2012484,0.98509545,1.012138,0.9969442,0.23025,,,,,,,,,
cnn,ntk,gelu,2,10,5.3379505,0.45,0.1968602,1.064307,1.09809,1.085002,0.161,,,,,,,,,
cnn,ntk,gelu,4,10,4.05213,0.4875,0.1926849,1.038684,1.0413540000000001,1.03875,0.17609999999999998,,,,,,,,,
cnn,ntk,gelu,8,10,4.7770955,0.5125,0.2026086,1.091497,1.112196,1.0923175,0.12975,,,,,,,,,
cnn,ntk,softplus,1,10,5.3612375,0.475,0.2152235,1.027708,1.065182,1.0640755,0.22555,,,,,,,,,
