mode,regime,act,width,seedA,seedB,dnorm,L_A,L_B,B,t_star,L_max,rho_A,rho_mid,rho_max,rho_at_tstar,acc_mid,flen_A,flen_mid,flen_B,flen_at_tstar,rq_mid,R_end,R_mid,R_tstar,devrel_lam1e-1,devrel_lam1e-2,devrel_lam1e-3,cg_resid,fd_instab,wmoveA,status
cnn,ntk,gelu,1,0,1,2.098561e+02,2.867271e-01,2.797760e-01,4.996085e+00,0.4750,5.279336e+00,2.037597e-01,1.014335e+00,1.015507e+00,1.015507e+00,0.2095,,,,,,,,,,,,,,0.40851861238479614,ok
cnn,ntk,gelu,1,0,2,2.122576e+02,2.867271e-01,2.812784e-01,6.866197e+00,0.4250,7.150200e+00,2.037597e-01,1.112526e+00,1.140529e+00,1.140529e+00,0.1104,,,,,,,,,,,,,,0.40851861238479614,ok
cnn,ntk,gelu,1,0,3,2.099594e+02,2.867271e-01,2.720541e-01,3.371343e+00,0.3750,3.650734e+00,2.037597e-01,9.166631e-01,9.443243e-01,9.412547e-01,0.3026,,,,,,,,,,,,,,0.40851861238479614,ok
cnn,ntk,gelu,1,0,4,2.111986e+02,2.867271e-01,2.774913e-01,3.304258e+00,0.5500,3.586368e+00,2.037597e-01,8.740697e-01,8.882529e-01,8.856995e-01,0.3673,,,,,,,,,,,,,,0.40851861238479614,ok
cnn,ntk,gelu,1,1,2,2.116648e+02,2.797760e-01,2.812785e-01,9.524914e+00,0.5000,9.805441e+00,1.979265e-01,1.258358e+00,1.259138e+00,1.258358e+00,0.0977,,,,,,,,,,,,,,0.39809224009513855,ok
cnn,ntk,gelu,1,1,3,2.111827e+02,2.797760e-01,2.720540e-01,5.670420e+00,0.3500,5.946335e+00,1.979265e-01,9.845528e-01,1.135603e+00,1.135603e+00,0.2672,,,,,,,,,,,,,,0.39809224009513855,ok
cnn,ntk,gelu,1,1,4,2.109591e+02,2.797760e-01,2.774913e-01,7.990030e+00,0.5500,8.268664e+00,1.979265e-01,1.196013e+00,1.233873e+00,1.228884e+00,0.1121,,,,,,,,,,,,,,0.39809224009513855,ok
cnn,ntk,gelu,1,2,3,2.119735e+02,2.812785e-01,2.720540e-01,6.022883e+00,0.6750,6.299549e+00,2.012484e-01,9.856381e-01,1.008769e+00,9.567115e-01,0.2268,,,,,,,,,,,,,,0.4037031829357147,ok
cnn,ntk,gelu,1,2,4,2.116862e+02,2.812785e-01,2.774913e-01,5.078649e+00,0.5500,5.358034e+00,2.012484e-01,9.462490e-01,9.553521e-01,9.530934e-01,0.2933,,,,,,,,,,,,,,0.4037031829357147,ok
cnn,ntk,gelu,1,3,4,2.123804e+02,2.720540e-01,2.774914e-01,5.355095e+00,0.5000,5.629868e+00,1.941359e-01,9.783814e-01,9.804226e-01,9.783814e-01,0.2337,,,,,,,,,,,,,,0.42081525921821594,ok
