mode,regime,act,width,seed,dF_op,gn_op,transport_op,rho_S,tr_frac
mlp,ntk,gelu,64,0,2.405884e-03,1.869495e-03,1.642659e-03,9.993979e-02,0.6828
mlp,ntk,gelu,64,1,2.431697e-03,1.440911e-03,1.958645e-03,9.619639e-02,0.8055
mlp,ntk,gelu,64,2,5.522344e-03,1.707462e-03,4.926444e-03,1.060958e-01,0.8921
mlp,ntk,gelu,128,0,1.716156e-03,9.744596e-04,1.598813e-03,1.060870e-01,0.9316
mlp,ntk,gelu,128,1,1.566893e-03,9.073271e-04,1.161169e-03,1.035097e-01,0.7411
mlp,ntk,gelu,128,2,1.482250e-03,8.470390e-04,1.128756e-03,1.084639e-01,0.7615
mlp,ntk,gelu,256,0,5.500451e-04,4.376123e-04,3.763180e-04,1.128167e-01,0.6842
mlp,ntk,gelu,256,1,5.558486e-04,4.144358e-04,4.181287e-04,1.110242e-01,0.7522
mlp,ntk,gelu,256,2,7.244635e-04,4.697308e-04,5.453646e-04,1.115065e-01,0.7528
mlp,ntk,gelu,512,0,3.552133e-04,2.369523e-04,2.525387e-04,1.193625e-01,0.7109
mlp,ntk,gelu,512,1,2.598650e-04,2.385983e-04,2.262238e-04,1.193249e-01,0.8705
mlp,ntk,gelu,512,2,3.475700e-04,2.439975e-04,1.860671e-04,1.213505e-01,0.5353
mlp,ntk,gelu,1024,0,1.602936e-04,1.249236e-04,1.400709e-04,1.264181e-01,0.8738
mlp,ntk,gelu,1024,1,1.710027e-04,1.178422e-04,1.032377e-04,1.260545e-01,0.6037
mlp,ntk,gelu,1024,2,1.549692e-04,1.140950e-04,9.127209e-05,1.267964e-01,0.5890
mlp,ntk,gelu,2048,0,8.311885e-05,5.920363e-05,4.919199e-05,1.330937e-01,0.5918
mlp,ntk,gelu,2048,1,7.595966e-05,5.758971e-05,5.366819e-05,1.321938e-01,0.7065
mlp,ntk,gelu,2048,2,8.804095e-05,5.582151e-05,6.889978e-05,1.301932e-01,0.7826
mlp,ntk,gelu,4096,0,3.386620e-05,2.604722e-05,2.064017e-05,1.389750e-01,0.6095
mlp,ntk,gelu,4096,1,3.224963e-05,2.655501e-05,1.633469e-05,1.401868e-01,0.5065
mlp,ntk,gelu,4096,2,3.128564e-05,2.625795e-05,1.834104e-05,1.375020e-01,0.5862
mlp,ntk,tanh,64,0,9.530025e-04,7.263017e-04,7.730533e-04,1.165481e-01,0.8112
mlp,ntk,tanh,64,1,1.437018e-03,7.928638e-04,1.272120e-03,1.136821e-01,0.8852
mlp,ntk,tanh,64,2,1.274419e-03,9.307093e-04,9.200376e-04,1.144672e-01,0.7219
mlp,ntk,tanh,128,0,5.413153e-04,3.900933e-04,4.185938e-04,1.257377e-01,0.7733
mlp,ntk,tanh,128,1,5.550300e-04,4.363155e-04,4.821095e-04,1.262882e-01,0.8686
mlp,ntk,tanh,128,2,5.275789e-04,3.911064e-04,3.653796e-04,1.238054e-01,0.6926
mlp,ntk,tanh,256,0,2.959592e-04,2.104837e-04,1.902355e-04,1.345809e-01,0.6428
mlp,ntk,tanh,256,1,3.349310e-04,2.549562e-04,2.205474e-04,1.328430e-01,0.6585
mlp,ntk,tanh,256,2,3.432696e-04,2.440045e-04,2.425864e-04,1.382249e-01,0.7067
mlp,ntk,tanh,512,0,2.176085e-04,1.491505e-04,1.576023e-04,1.422742e-01,0.7242
mlp,ntk,tanh,512,1,2.018653e-04,1.438279e-04,1.426574e-04,1.409545e-01,0.7067
mlp,ntk,tanh,512,2,2.068536e-04,1.429486e-04,1.310267e-04,1.422521e-01,0.6334
mlp,ntk,tanh,1024,0,1.371411e-04,8.344221e-05,8.892810e-05,1.476420e-01,0.6484
mlp,ntk,tanh,1024,1,1.158665e-04,8.552137e-05,9.142137e-05,1.472860e-01,0.7890
mlp,ntk,tanh,1024,2,1.228084e-04,8.091296e-05,8.957897e-05,1.469821e-01,0.7294
mlp,ntk,tanh,2048,0,6.103441e-05,4.703437e-05,4.200077e-05,1.515030e-01,0.6881
mlp,ntk,tanh,2048,1,5.740739e-05,4.691112e-05,3.304269e-05,1.506203e-01,0.5756
mlp,ntk,tanh,2048,2,5.666787e-05,4.643618e-05,2.497476e-05,1.516715e-01,0.4407
mlp,ntk,tanh,4096,0,3.205120e-05,2.466605e-05,1.929574e-05,1.521417e-01,0.6020
mlp,ntk,tanh,4096,1,2.773472e-05,2.576484e-05,1.711147e-05,1.535415e-01,0.6170
mlp,ntk,tanh,4096,2,3.185590e-05,2.530640e-05,2.040637e-05,1.537217e-01,0.6406
mlp,sp,gelu,64,0,1.649824e-01,1.879172e-02,1.691886e-01,6.142553e-04,1.0255
mlp,sp,gelu,64,1,8.163729e-02,5.692310e-02,7.940958e-02,3.903859e-04,0.9727
mlp,sp,gelu,64,2,8.924650e-02,2.885678e-02,8.786321e-02,4.114126e-04,0.9845
mlp,sp,gelu,128,0,3.854044e-02,9.044366e-03,3.515236e-02,2.237759e-04,0.9121
mlp,sp,gelu,128,1,3.987122e-02,5.847615e-03,3.907892e-02,2.147416e-04,0.9801
mlp,sp,gelu,128,2,4.066657e-02,5.114085e-03,3.746324e-02,2.124161e-04,0.9212
mlp,sp,gelu,256,0,3.258881e-02,3.457946e-03,3.289355e-02,1.960502e-04,1.0094
