act,width,devrel_1e-1,devrel_1e-2,devrel_1e-3,Fop
gelu,64,0.05611545,0.1044557,0.1926067,0.1502948
gelu,128,0.02476409,0.04303582,0.1578146,0.05131466
gelu,256,0.01251953,0.02833392,0.1858332,0.02284131
gelu,512,0.006154071,0.01482642,0.105604,0.02298191
gelu,1024,0.004396527,0.01187041,0.08851628,0.01751805
gelu,2048,0.002458946,0.009115901,0.07354471,0.01987556
gelu,4096,0.001644319,0.008356047,0.07254575,0.02301412
softplus,64,0.0347081,0.06158387,0.1166891,0.1483603
softplus,128,0.01848858,0.02960882,0.1174057,0.04969635
softplus,256,0.01025701,0.01635009,0.08228514,0.04023687
softplus,512,0.006370524,0.01346983,0.08627736,0.0246899
softplus,1024,0.004269733,0.0102419,0.07634751,0.01924829
softplus,2048,0.002175581,0.005860976,0.04343397,0.02824325
softplus,4096,0.001452249,0.00627734,0.05301681,0.02379224
swish,64,0.04372729,0.0827742,0.1550691,0.1409233
swish,128,0.02523833,0.0462773,0.177577,0.03859565
swish,256,0.01114059,0.02208427,0.1409169,0.02831846
swish,512,0.006658318,0.01716999,0.12921,0.01870722
swish,1024,0.003954559,0.01309555,0.1020217,0.01639737
swish,2048,0.002508135,0.01055236,0.08506667,0.01693127
swish,4096,0.001730541,0.008027085,0.06741829,0.01871027
tanh,64,0.110759,0.2051968,0.3565862,0.2454397
tanh,128,0.06464031,0.1158369,0.2517688,0.05089636
tanh,256,0.03966255,0.07370275,0.2700442,0.02454713
tanh,512,0.04745685,0.09613888,0.4431307,0.01025593
tanh,1024,0.03732122,0.09110481,0.608013,0.006310234
tanh,2048,0.02616201,0.09316758,0.7975165,0.004369154
tanh,4096,0.0197698,0.120759,1.133958,0.003639244
