regime,act,width,seedA,seedB,dnorm,lam_max,devrel_1e-1,devrel_1e-2,devrel_1e-3,rhs_1e-2,cg_resid,fd_instab,status
mup,gelu,64,0,1,2.793629e+01,1.502948e-01,9.678816e-02,1.905617e-01,3.287374e-01,1.217419e+02,7.40e-04,8.454e-03,ok
mup,gelu,64,0,2,2.779932e+01,1.502948e-01,5.611545e-02,1.044557e-01,1.926067e-01,5.243556e+01,3.79e-04,1.076e-02,ok
mup,gelu,64,0,3,2.801647e+01,1.502948e-01,4.153866e-02,7.575226e-02,1.427900e-01,1.961775e+01,5.61e-05,9.762e-03,ok
mup,gelu,128,0,1,3.707206e+01,5.131466e-02,2.173312e-02,3.625105e-02,1.360407e-01,9.728108e+00,1.53e-04,3.490e-02,ok
mup,gelu,128,0,2,3.708135e+01,5.131466e-02,2.476409e-02,4.563120e-02,1.675220e-01,1.342809e+01,2.41e-04,3.186e-02,ok
mup,gelu,128,0,3,3.742708e+01,5.131466e-02,2.480121e-02,4.303582e-02,1.578146e-01,1.298673e+01,5.09e-04,3.673e-02,ok
mup,gelu,256,0,1,4.996331e+01,2.284131e-02,1.210904e-02,2.780667e-02,1.958405e-01,5.555739e+00,2.16e-04,5.422e-02,ok
mup,gelu,256,0,2,5.023690e+01,2.284131e-02,1.282949e-02,2.833392e-02,1.790628e-01,5.049765e+00,4.55e-04,4.921e-02,ok
mup,gelu,256,0,3,4.993246e+01,2.284131e-02,1.251953e-02,2.921749e-02,1.858332e-01,9.823528e+00,2.27e-04,4.207e-02,ok
mup,gelu,512,0,1,6.769072e+01,2.298191e-02,6.154071e-03,1.436520e-02,1.028330e-01,2.433635e+00,9.76e-05,1.440e-01,ok
mup,gelu,512,0,2,6.730485e+01,2.298191e-02,6.042835e-03,1.513552e-02,1.056040e-01,2.304725e+00,1.01e-04,1.963e-01,ok
mup,gelu,512,0,3,6.776951e+01,2.298191e-02,6.636520e-03,1.482642e-02,1.071641e-01,3.222924e+00,9.12e-05,1.596e-01,ok
mup,gelu,1024,0,1,9.422092e+01,1.751805e-02,4.285547e-03,1.187041e-02,8.771645e-02,2.023045e+00,8.66e-05,2.360e-01,ok
mup,gelu,1024,0,2,9.388660e+01,1.751805e-02,4.396527e-03,1.487396e-02,1.200900e-01,2.134119e+00,5.66e-05,2.165e-01,ok
mup,gelu,1024,0,3,9.430901e+01,1.751805e-02,4.638012e-03,1.171760e-02,8.851628e-02,2.267259e+00,1.20e-04,1.263e-01,ok
mup,gelu,2048,0,1,1.322893e+02,1.987556e-02,2.445878e-03,7.780169e-03,6.141887e-02,1.043266e+00,6.69e-05,4.414e-01,ok
mup,gelu,2048,0,2,1.320877e+02,1.987556e-02,2.556191e-03,9.115901e-03,7.354471e-02,1.236680e+00,8.61e-05,2.376e-01,ok
mup,gelu,2048,0,3,1.321098e+02,1.987556e-02,2.458946e-03,9.343508e-03,7.913029e-02,1.142581e+00,1.34e-05,4.232e-01,ok
mup,gelu,4096,0,1,1.869090e+02,2.301412e-02,1.644319e-03,8.356047e-03,7.254575e-02,1.917213e+00,1.29e-05,3.751e-01,ok
mup,gelu,4096,0,2,1.877414e+02,2.301412e-02,1.698396e-03,9.200242e-03,8.094417e-02,1.420640e+00,4.06e-05,2.919e-01,ok
mup,gelu,4096,0,3,1.865656e+02,2.301412e-02,1.540038e-03,6.315833e-03,5.355986e-02,1.109041e+00,2.80e-05,4.061e-01,ok
mup,tanh,64,0,1,2.916946e+01,2.454397e-01,9.028379e-02,1.680032e-01,2.795496e-01,5.608059e+01,2.94e-05,2.571e-03,ok
mup,tanh,64,0,2,2.974490e+01,2.454397e-01,1.107590e-01,2.051968e-01,3.565862e-01,8.320464e+01,8.55e-05,1.769e-03,ok
