act,width,devrel_1e-1,devrel_1e-2,devrel_1e-3
gelu,64,0.007292705,0.01766254,0.04086505
gelu,128,0.00501477,0.0156527,0.03307779
gelu,256,0.004347639,0.01360723,0.02706613
gelu,512,0.003202262,0.01106219,0.02284215
gelu,1024,0.002316921,0.008465824,0.01895987
gelu,2048,0.001487967,0.005960167,0.01717382
gelu,4096,0.0008757102,0.003952821,0.016512
softplus,64,0.004175142,0.01127935,0.02885286
softplus,128,0.003084913,0.009357268,0.02366095
softplus,256,0.002010858,0.008979216,0.02100696
softplus,512,0.001577328,0.007919556,0.01873421
softplus,1024,0.001113828,0.006042219,0.01534845
softplus,2048,0.0006707577,0.004025717,0.01216829
softplus,4096,0.0003545465,0.002302906,0.00803787
swish,64,0.004838425,0.01530275,0.03396536
swish,128,0.004293171,0.01301643,0.0285884
swish,256,0.003773914,0.01295936,0.02569284
swish,512,0.002721459,0.01024978,0.02074956
swish,1024,0.00225901,0.008640166,0.01996278
swish,2048,0.001295617,0.005784489,0.0150411
swish,4096,0.0007445105,0.003697078,0.01215288
tanh,64,0.004665578,0.01415849,0.03270089
tanh,128,0.003909851,0.01326858,0.02595059
tanh,256,0.003860474,0.01272184,0.02361044
tanh,512,0.002919356,0.01032488,0.01921871
tanh,1024,0.002003263,0.007424754,0.01509527
tanh,2048,0.001222069,0.004911869,0.01396261
tanh,4096,0.0007425108,0.003149812,0.01453083
