regime,act,width,seedA,seedB,dnorm,lam_max,devrel_1e-1,devrel_1e-2,devrel_1e-3,cg_resid,fd_instab,status
ntk,gelu,64,0,1,3.210681e+02,2.762750e-01,6.161636e-03,1.740722e-02,4.060753e-02,9.85e-07,1.375e-02,ok
ntk,gelu,64,0,2,3.210594e+02,2.762750e-01,7.354003e-03,2.007758e-02,4.697154e-02,9.52e-07,1.071e-02,ok
ntk,gelu,64,0,3,3.216203e+02,2.762750e-01,7.292705e-03,1.766254e-02,4.086505e-02,9.18e-07,1.383e-02,ok
ntk,gelu,128,0,1,4.661834e+02,2.584867e-01,5.189389e-03,1.610951e-02,3.522470e-02,9.79e-07,1.667e-02,ok
ntk,gelu,128,0,2,4.667124e+02,2.584867e-01,5.014770e-03,1.565270e-02,3.110720e-02,9.32e-07,2.259e-02,ok
ntk,gelu,128,0,3,4.661041e+02,2.584867e-01,4.925169e-03,1.467306e-02,3.307779e-02,9.96e-07,1.368e-02,ok
ntk,gelu,256,0,1,6.967278e+02,2.096182e-01,4.347639e-03,1.369968e-02,2.795755e-02,9.99e-07,1.780e-02,ok
ntk,gelu,256,0,2,6.983337e+02,2.096182e-01,4.202625e-03,1.328107e-02,2.681239e-02,9.97e-07,1.740e-02,ok
ntk,gelu,256,0,3,6.968572e+02,2.096182e-01,4.640419e-03,1.360723e-02,2.706613e-02,9.94e-07,2.499e-02,ok
ntk,gelu,512,0,1,1.097498e+03,1.754480e-01,3.202262e-03,1.106219e-02,2.229275e-02,9.62e-07,2.838e-02,ok
ntk,gelu,512,0,2,1.098088e+03,1.754480e-01,3.446467e-03,1.121328e-02,2.331154e-02,9.70e-07,3.798e-02,ok
ntk,gelu,512,0,3,1.097905e+03,1.754480e-01,3.178161e-03,1.093030e-02,2.284215e-02,9.99e-07,3.376e-02,ok
ntk,gelu,1024,0,1,1.837421e+03,1.473052e-01,2.230354e-03,8.332515e-03,1.923838e-02,9.49e-07,5.116e-02,ok
ntk,gelu,1024,0,2,1.837738e+03,1.473052e-01,2.402997e-03,8.638352e-03,1.895987e-02,9.97e-07,5.061e-02,ok
ntk,gelu,1024,0,3,1.836784e+03,1.473052e-01,2.316921e-03,8.465824e-03,1.831974e-02,9.65e-07,5.386e-02,ok
ntk,gelu,2048,0,1,3.273861e+03,1.199613e-01,1.475447e-03,5.960167e-03,1.751987e-02,9.64e-07,1.092e-01,ok
ntk,gelu,2048,0,2,3.277431e+03,1.199613e-01,1.521531e-03,6.029703e-03,1.717382e-02,9.96e-07,7.888e-02,ok
ntk,gelu,2048,0,3,3.276538e+03,1.199613e-01,1.487967e-03,5.783348e-03,1.342976e-02,9.75e-07,9.759e-02,ok
ntk,gelu,4096,0,1,6.125076e+03,9.832675e-02,8.739218e-04,3.952821e-03,1.651200e-02,9.25e-07,1.725e-01,ok
ntk,gelu,4096,0,2,6.130929e+03,9.832675e-02,8.842335e-04,3.928408e-03,1.461774e-02,9.39e-07,1.346e-01,ok
ntk,gelu,4096,0,3,6.128917e+03,9.832675e-02,8.757102e-04,4.014087e-03,1.834514e-02,9.89e-07,1.628e-01,ok
ntk,tanh,64,0,1,3.212673e+02,1.728343e-01,5.084311e-03,1.542368e-02,3.302502e-02,9.94e-07,1.333e-02,ok
ntk,tanh,64,0,2,3.218329e+02,1.728343e-01,4.665578e-03,1.404618e-02,3.270089e-02,9.06e-07,1.356e-02,ok
ntk,tanh,64,0,3,3.221742e+02,1.728343e-01,4.596386e-03,1.415849e-02,3.148281e-02,9.89e-07,1.741e-02,ok
