act,width,devrel_1e-1,devrel_1e-2,devrel_1e-3,Fop
gelu,64,0.05358905,0.09550666,0.1864364,0.1165803
gelu,128,0.02388475,0.04342009,0.1278919,0.07949428
gelu,256,0.01395881,0.02572923,0.1342428,0.0544373
gelu,512,0.009356917,0.0237197,0.1609667,0.04623036
gelu,1024,0.01015419,0.03123558,0.2198604,0.03909775
gelu,2048,0.01338418,0.04773608,0.3551493,0.03800766
gelu,4096,0.02228513,0.1394502,1.325099,0.03808197
softplus,64,0.03562076,0.06818851,0.1230703,0.1907105
softplus,128,0.01747774,0.0280912,0.07453226,0.125292
softplus,256,0.01202104,0.02006487,0.07090619,0.1095946
softplus,512,0.008034367,0.01295365,0.04407971,0.1515335
softplus,1024,0.005999384,0.01071073,0.03274544,0.2143972
softplus,2048,0.006836877,0.01424508,0.04290341,0.270167
softplus,4096,0.01291134,0.03145754,0.1835221,0.2428893
swish,64,0.0401263,0.08523015,0.1600168,0.1768685
swish,128,0.02309635,0.04066764,0.1350888,0.07404377
swish,256,0.01769863,0.03407982,0.1412429,0.06075834
swish,512,0.009451509,0.01938274,0.1208283,0.05422601
swish,1024,0.009503102,0.02212365,0.1429172,0.05636922
swish,2048,0.01310056,0.03503037,0.2580803,0.05010666
swish,4096,0.02588406,0.1184218,1.114596,0.05632779
tanh,64,0.1377967,0.2775766,0.4817672,0.3124075
tanh,128,0.05661226,0.09544242,0.2014427,0.07319723
tanh,256,0.01983386,0.03259789,0.09845072,0.07380391
tanh,512,0.01274813,0.02195897,0.09299144,0.07149056
tanh,1024,0.01379332,0.02619042,0.1587622,0.0615589
tanh,2048,0.01446384,0.04818441,0.4331384,0.03134048
tanh,4096,0.01700538,0.1438174,1.423725,0.01907163
