regime,act,width,seedA,seedB,dnorm,lam_max,devrel_1e-1,devrel_1e-2,devrel_1e-3,rhs_1e-2,cg_resid,fd_instab,status
sp,gelu,64,0,1,2.792449e+01,1.165803e-01,5.175900e-02,9.380511e-02,1.864364e-01,2.684623e+01,1.40e-04,7.192e-03,ok
sp,gelu,64,0,2,2.816382e+01,1.165803e-01,7.559739e-02,1.308019e-01,2.371360e-01,5.392051e+01,4.46e-04,1.414e-02,ok
sp,gelu,64,0,3,2.803664e+01,1.165803e-01,5.358905e-02,9.550666e-02,1.810932e-01,3.212278e+01,2.64e-04,8.744e-03,ok
sp,gelu,128,0,1,3.070816e+01,7.949428e-02,2.388475e-02,4.342009e-02,1.396047e-01,1.296041e+01,4.18e-04,2.097e-02,ok
sp,gelu,128,0,2,3.071975e+01,7.949428e-02,1.957859e-02,3.413747e-02,1.170998e-01,1.405972e+01,1.23e-04,2.621e-02,ok
sp,gelu,128,0,3,3.066880e+01,7.949428e-02,2.648666e-02,4.488059e-02,1.278919e-01,1.506521e+01,1.82e-04,2.486e-02,ok
sp,gelu,256,0,1,3.713108e+01,5.443730e-02,1.472033e-02,2.860693e-02,1.517947e-01,1.021252e+01,6.20e-04,5.391e-02,ok
sp,gelu,256,0,2,3.714746e+01,5.443730e-02,1.333730e-02,2.452681e-02,1.342428e-01,7.586707e+00,3.86e-04,4.639e-02,ok
sp,gelu,256,0,3,3.711576e+01,5.443730e-02,1.395881e-02,2.572923e-02,1.323870e-01,8.331841e+00,5.00e-04,4.114e-02,ok
sp,gelu,512,0,1,4.787673e+01,4.623036e-02,1.042336e-02,2.356429e-02,1.580146e-01,6.164651e+00,6.10e-04,6.344e-02,ok
sp,gelu,512,0,2,4.789753e+01,4.623036e-02,9.356917e-03,2.371970e-02,1.661546e-01,6.141828e+00,7.89e-04,9.236e-02,ok
sp,gelu,512,0,3,4.789172e+01,4.623036e-02,9.172698e-03,2.466695e-02,1.609667e-01,9.109130e+00,7.34e-04,7.895e-02,ok
sp,gelu,1024,0,1,6.464786e+01,3.909775e-02,1.028796e-02,3.123558e-02,2.199364e-01,9.834229e+00,1.62e-03,1.264e-01,ok
sp,gelu,1024,0,2,6.462613e+01,3.909775e-02,1.015419e-02,3.152762e-02,2.198604e-01,1.455461e+01,2.34e-03,1.242e-01,ok
sp,gelu,1024,0,3,6.465664e+01,3.909775e-02,9.659143e-03,2.879196e-02,2.040535e-01,1.481553e+01,2.52e-03,1.239e-01,ok
