mode,regime,act,width,n_pairs,B,t_star,rho_A,rho_mid,rho_max,rho_at_tstar,acc_mid,flen_A,flen_mid,flen_B,flen_at_tstar,rq_mid,R_end,R_mid,R_tstar,fd_instab
mlp,mup,gelu,64,10,0.07106287,0.5,0.00030240295,0.039454195,0.039454195,0.039378205,0.9783999999999999,,,,,,,,,
mlp,mup,gelu,128,10,0.01872136,0.5,0.00011403134999999999,0.013528169999999999,0.013528169999999999,0.013528169999999999,0.9935,,,,,,,,,
mlp,mup,gelu,256,10,0.0070651585,0.5,7.527856e-05,0.0060183225,0.0060183225,0.0060183225,0.9977,,,,,,,,,
mlp,mup,gelu,512,10,0.002479038,0.5,5.96654e-05,0.0025989504999999998,0.0025989504999999998,0.0025989504999999998,0.9994,,,,,,,,,
mlp,mup,gelu,1024,10,0.001243962,0.5,4.644066e-05,0.001442114,0.0014432905,0.001443189,0.99985,,,,,,,,,
mlp,mup,gelu,2048,10,0.0006631852,0.5,4.4692205e-05,0.00085050535,0.0008509272999999999,0.00085050535,1.0,,,,,,,,,
mlp,mup,gelu,4096,10,0.00049421405,0.5,3.921491e-05,0.00064785995,0.00064785995,0.00064785995,1.0,,,,,,,,,
mlp,mup,softplus,64,10,0.059688405,0.5,0.0004080178,0.03188102,0.031891775,0.03188102,0.98245,,,,,,,,,
mlp,mup,softplus,128,10,0.019232350000000002,0.5,0.00017848480000000002,0.013574764999999999,0.01358052,0.01358052,0.99335,,,,,,,,,
mlp,mup,softplus,256,10,0.006634709,0.5,0.00011673635,0.0061292255,0.0061292255,0.0061292255,0.99795,,,,,,,,,
mlp,mup,softplus,512,10,0.002557714,0.5,8.638922e-05,0.002738902,0.002738902,0.0027336925,0.9993,,,,,,,,,
mlp,mup,softplus,1024,10,0.0011195595,0.5,6.487282e-05,0.0013441565,0.0013472195,0.0013472195,0.9998,,,,,,,,,
mlp,mup,softplus,2048,10,0.0005762819,0.5,5.486291e-05,0.0007805850999999999,0.0007805850999999999,0.0007805850999999999,1.0,,,,,,,,,
mlp,mup,softplus,4096,10,0.0003485758,0.5,4.6382705e-05,0.0004910801499999999,0.0004910801499999999,0.0004910801499999999,1.0,,,,,,,,,
mlp,mup,swish,64,10,0.06468893,0.5,0.0002628252,0.034972495,0.034999325,0.034972495,0.9794499999999999,,,,,,,,,
mlp,mup,swish,128,10,0.017985665,0.5,0.0001141518,0.01325894,0.01325894,0.013223055000000001,0.9937,,,,,,,,,
mlp,mup,swish,256,10,0.0067939485,0.5,7.7655525e-05,0.005845795500000001,0.005845795500000001,0.005845795500000001,0.9977,,,,,,,,,
mlp,mup,swish,512,10,0.0028005095,0.5,5.9900655e-05,0.0029806295,0.0029806295,0.0029806295,0.9993,,,,,,,,,
mlp,mup,swish,1024,10,0.0011920655,0.5,4.59021e-05,0.0014289545,0.0014289545,0.0014289545,0.99985,,,,,,,,,
