mode,regime,act,width,seedA,seedB,dnorm,L_A,L_B,B,t_star,L_max,rho_A,rho_mid,rho_max,rho_at_tstar,acc_mid,flen_A,flen_mid,flen_B,flen_at_tstar,rq_mid,R_end,R_mid,R_tstar,devrel_lam1e-1,devrel_lam1e-2,devrel_lam1e-3,cg_resid,fd_instab,wmoveA,status
mlp,ntk,gelu,64,0,1,3.210681e+02,2.423678e-01,2.331845e-01,3.258209e-01,0.5000,5.635970e-01,1.544665e-01,3.967008e-01,3.967008e-01,3.967008e-01,0.8395,,,,,,,,,,,,,,0.1867368519306183,ok
mlp,ntk,gelu,64,0,2,3.210594e+02,2.423678e-01,2.499408e-01,5.061662e-01,0.5000,7.523205e-01,1.544665e-01,5.158391e-01,5.158391e-01,5.158391e-01,0.7557,,,,,,,,,,,,,,0.1867368519306183,ok
mlp,ntk,gelu,64,0,3,3.216203e+02,2.423678e-01,2.409283e-01,4.461055e-01,0.5000,6.877535e-01,1.544665e-01,4.521777e-01,4.521777e-01,4.521777e-01,0.7851,,,,,,,,,,,,,,0.1867368519306183,ok
mlp,ntk,gelu,64,0,4,3.219838e+02,2.423678e-01,2.336538e-01,4.761880e-01,0.5000,7.141988e-01,1.544665e-01,4.977668e-01,4.977668e-01,4.977668e-01,0.7668,,,,,,,,,,,,,,0.1867368519306183,ok
mlp,ntk,gelu,64,1,2,3.213613e+02,2.331845e-01,2.499408e-01,3.549503e-01,0.5000,5.965129e-01,1.488279e-01,4.112480e-01,4.112480e-01,4.112480e-01,0.8159,,,,,,,,,,,,,,0.1887492537498474,ok
mlp,ntk,gelu,64,1,3,3.215706e+02,2.331845e-01,2.409283e-01,6.228871e-01,0.5000,8.599434e-01,1.488279e-01,5.506569e-01,5.506569e-01,5.506569e-01,0.6588,,,,,,,,,,,,,,0.1887492537498474,ok
mlp,ntk,gelu,64,1,4,3.218741e+02,2.331845e-01,2.336538e-01,5.586343e-01,0.5250,7.920534e-01,1.488279e-01,5.048620e-01,5.048620e-01,5.044651e-01,0.7108,,,,,,,,,,,,,,0.1887492537498474,ok
mlp,ntk,gelu,64,2,3,3.219756e+02,2.499408e-01,2.409283e-01,4.422393e-01,0.5000,6.876738e-01,1.601827e-01,4.695728e-01,4.697483e-01,4.695728e-01,0.8071,,,,,,,,,,,,,,0.1880723387002945,ok
mlp,ntk,gelu,64,2,4,3.219274e+02,2.499408e-01,2.336538e-01,4.906721e-01,0.5000,7.324693e-01,1.601827e-01,4.842385e-01,4.842385e-01,4.842385e-01,0.7619,,,,,,,,,,,,,,0.1880723387002945,ok
mlp,ntk,gelu,64,3,4,3.221512e+02,2.409283e-01,2.336538e-01,4.252422e-01,0.5000,6.625333e-01,1.533113e-01,4.295992e-01,4.295992e-01,4.295992e-01,0.7943,,,,,,,,,,,,,,0.1861492544412613,ok
