mode,regime,act,width,n_pairs,B,t_star,rho_A,rho_mid,rho_max,rho_at_tstar,acc_mid,flen_A,flen_mid,flen_B,flen_at_tstar,rq_mid,R_end,R_mid,R_tstar,fd_instab
ts,mup,gelu,64,10,0.9137047,0.5,0.004107848,0.25192539999999997,0.25195239999999997,0.25192539999999997,0.8250500000000001,,,,,,,,,
ts,mup,gelu,128,10,0.5183316,0.5,0.0003466452,0.19202315,0.19202315,0.19202315,0.8714999999999999,,,,,,,,,
ts,mup,gelu,256,10,0.1906794,0.5,0.0001801787,0.10600255,0.10600255,0.10600065,0.9357,,,,,,,,,
ts,mup,gelu,512,10,0.08101962500000001,0.5,0.00018584789999999998,0.057722465,0.057722465,0.057722465,0.9705,,,,,,,,,
ts,mup,gelu,1024,10,0.03604188,0.5,0.00015251609999999998,0.031241305,0.031347015000000006,0.031347015000000006,0.9872,,,,,,,,,
ts,mup,gelu,2048,10,0.014402365,0.5,0.0001163657,0.01452756,0.01452756,0.01452756,0.99615,,,,,,,,,
ts,mup,gelu,4096,10,0.006583558,0.5,9.292197e-05,0.007357304,0.007357304,0.007357304,0.99865,,,,,,,,,
ts,mup,softplus,64,10,1.00361375,0.5,0.01698524,0.28734365,0.28734365,0.287327,0.8,,,,,,,,,
ts,mup,softplus,128,10,0.5068531000000001,0.5,0.00090895705,0.1942062,0.1942062,0.1942062,0.86865,,,,,,,,,
ts,mup,softplus,256,10,0.22680515,0.5,0.0005618422,0.12140575,0.12140575,0.12140575,0.92555,,,,,,,,,
ts,mup,softplus,512,10,0.09686454,0.5,0.00043833649999999995,0.069365755,0.069365755,0.069365755,0.9635499999999999,,,,,,,,,
ts,mup,softplus,1024,10,0.04578717,0.5,0.0003054517,0.03981451,0.03981451,0.03981451,0.98395,,,,,,,,,
ts,mup,softplus,2048,10,0.024397139999999998,0.5,0.0002646563,0.024178575,0.024178575,0.024178575,0.99265,,,,,,,,,
ts,mup,softplus,4096,10,0.010825425,0.5,0.00022578615,0.01243933,0.01243933,0.01243933,0.9979,,,,,,,,,
ts,mup,swish,64,10,0.89245555,0.5,0.003870958,0.24968669999999998,0.24968669999999998,0.24968669999999998,0.8271999999999999,,,,,,,,,
ts,mup,swish,128,10,0.46141055,0.5,0.0003559549,0.17826115,0.17826115,0.17826115,0.8807,,,,,,,,,
ts,mup,swish,256,10,0.1819292,0.5,0.00030337764999999997,0.1054205,0.1054205,0.1054205,0.93765,,,,,,,,,
ts,mup,swish,512,10,0.081674205,0.5,0.0002739713,0.06111274,0.06121923,0.06121923,0.9702,,,,,,,,,
ts,mup,swish,1024,10,0.03531207,0.5,0.0002331436,0.032647314999999996,0.032647314999999996,0.032647314999999996,0.98845,,,,,,,,,
ts,mup,swish,2048,10,0.015746435,0.5,0.00019615585,0.01661643,0.01661643,0.01661643,0.99615,,,,,,,,,
ts,mup,swish,4096,10,0.00845711,0.5,0.0001769867,0.010069390000000001,0.010069390000000001,0.010069390000000001,0.9987,,,,,,,,,
