mode,regime,act,width,seedA,seedB,dnorm,L_A,L_B,B,t_star,L_max,rho_A,rho_mid,rho_max,rho_at_tstar,acc_mid,flen_A,flen_mid,flen_B,flen_at_tstar,rq_mid,R_end,R_mid,R_tstar,devrel_lam1e-1,devrel_lam1e-2,devrel_lam1e-3,cg_resid,fd_instab,wmoveA,status
ts,ntk,gelu,64,0,1,1.167105e+02,8.812230e-01,8.630477e-01,1.752063e-01,0.5250,1.047342e+00,5.549581e-01,6.504946e-01,6.504946e-01,6.504436e-01,0.6115,,,,,,,,,,,,,,0.3571223318576813,ok
ts,ntk,gelu,64,0,2,1.173306e+02,8.812230e-01,8.776654e-01,1.934044e-01,0.5000,1.072849e+00,5.549581e-01,6.475132e-01,6.475132e-01,6.475132e-01,0.5941,,,,,,,,,,,,,,0.3571223318576813,ok
ts,ntk,gelu,64,0,3,1.175810e+02,8.812230e-01,8.641495e-01,2.511578e-01,0.4750,1.123844e+00,5.549581e-01,6.711402e-01,6.726835e-01,6.724341e-01,0.5763,,,,,,,,,,,,,,0.3571223318576813,ok
ts,ntk,gelu,64,0,4,1.177551e+02,8.812230e-01,8.642708e-01,2.475010e-01,0.5000,1.120248e+00,5.549581e-01,6.622695e-01,6.622695e-01,6.622695e-01,0.5823,,,,,,,,,,,,,,0.3571223318576813,ok
ts,ntk,gelu,64,1,2,1.185044e+02,8.630477e-01,8.776654e-01,3.278116e-01,0.5000,1.198168e+00,5.500688e-01,6.865905e-01,6.865905e-01,6.865905e-01,0.5338,,,,,,,,,,,,,,0.36678826808929443,ok
ts,ntk,gelu,64,1,3,1.175116e+02,8.630477e-01,8.641495e-01,2.372274e-01,0.4750,1.100826e+00,5.500688e-01,6.618446e-01,6.622683e-01,6.622683e-01,0.5736,,,,,,,,,,,,,,0.36678826808929443,ok
ts,ntk,gelu,64,1,4,1.179019e+02,8.630477e-01,8.642708e-01,3.464142e-01,0.4500,1.210073e+00,5.500688e-01,6.785456e-01,6.806373e-01,6.806373e-01,0.5308,,,,,,,,,,,,,,0.36678826808929443,ok
ts,ntk,gelu,64,2,3,1.182841e+02,8.776654e-01,8.641495e-01,2.171420e-01,0.5000,1.088049e+00,5.538301e-01,6.600872e-01,6.601795e-01,6.600872e-01,0.5886,,,,,,,,,,,,,,0.3585285544395447,ok
ts,ntk,gelu,64,2,4,1.188325e+02,8.776654e-01,8.642708e-01,3.793125e-01,0.5250,1.250281e+00,5.538301e-01,7.051293e-01,7.060832e-01,7.060832e-01,0.5399,,,,,,,,,,,,,,0.3585285544395447,ok
ts,ntk,gelu,64,3,4,1.178593e+02,8.641495e-01,8.642708e-01,2.527000e-01,0.5000,1.116910e+00,5.491536e-01,6.318840e-01,6.318840e-01,6.318840e-01,0.5839,,,,,,,,,,,,,,0.3633158206939697,ok
ts,ntk,gelu,128,0,1,2.022399e+02,8.531931e-01,8.669234e-01,2.644448e-01,0.4750,1.124503e+00,5.458402e-01,6.691187e-01,6.691187e-01,6.686707e-01,0.5662,,,,,,,,,,,,,,0.2296731173992157,ok
ts,ntk,gelu,128,0,2,2.031036e+02,8.531931e-01,8.597703e-01,2.001429e-01,0.5000,1.056625e+00,5.458402e-01,6.591663e-01,6.591663e-01,6.591663e-01,0.6035,,,,,,,,,,,,,,0.2296731173992157,ok
ts,ntk,gelu,128,0,3,2.035386e+02,8.531931e-01,8.674101e-01,2.477384e-01,0.4750,1.108040e+00,5.458402e-01,6.837251e-01,6.837251e-01,6.836493e-01,0.5963,,,,,,,,,,,,,,0.2296731173992157,ok
ts,ntk,gelu,128,0,4,2.038744e+02,8.531931e-01,8.513101e-01,2.712479e-01,0.5250,1.123500e+00,5.458402e-01,6.602502e-01,6.602502e-01,6.595018e-01,0.5856,,,,,,,,,,,,,,0.2296731173992157,ok
ts,ntk,gelu,128,1,2,2.037256e+02,8.669234e-01,8.597702e-01,3.464706e-01,0.4750,1.209817e+00,5.486671e-01,7.052578e-01,7.060373e-01,7.060373e-01,0.5121,,,,,,,,,,,,,,0.22120404243469238,ok
ts,ntk,gelu,128,1,3,2.029189e+02,8.669234e-01,8.674101e-01,2.339045e-01,0.5000,1.101071e+00,5.486671e-01,6.700361e-01,6.700361e-01,6.700361e-01,0.5922,,,,,,,,,,,,,,0.22120404243469238,ok
ts,ntk,gelu,128,1,4,2.038584e+02,8.669234e-01,8.513101e-01,2.500008e-01,0.5000,1.109118e+00,5.486671e-01,6.668088e-01,6.669084e-01,6.668088e-01,0.5867,,,,,,,,,,,,,,0.22120404243469238,ok
ts,ntk,gelu,128,2,3,2.028210e+02,8.597702e-01,8.674101e-01,5.293114e-01,0.5000,1.392902e+00,5.484237e-01,7.336981e-01,7.336981e-01,7.336981e-01,0.4548,,,,,,,,,,,,,,0.2263018935918808,ok
ts,ntk,gelu,128,2,4,2.033739e+02,8.597702e-01,8.513101e-01,2.020085e-01,0.5250,1.057549e+00,5.484237e-01,6.494122e-01,6.494122e-01,6.490133e-01,0.6056,,,,,,,,,,,,,,0.2263018935918808,ok
ts,ntk,gelu,128,3,4,2.033827e+02,8.674101e-01,8.513101e-01,2.854040e-01,0.5250,1.144764e+00,5.509370e-01,6.686977e-01,6.687186e-01,6.687186e-01,0.5676,,,,,,,,,,,,,,0.2219490259885788,ok
ts,ntk,gelu,256,0,1,3.724144e+02,8.684827e-01,8.735579e-01,2.785064e-01,0.4750,1.149527e+00,5.499091e-01,6.865863e-01,6.867107e-01,6.867107e-01,0.5915,,,,,,,,,,,,,,0.13093264400959015,ok
ts,ntk,gelu,256,0,2,3.726015e+02,8.684827e-01,8.810705e-01,4.063387e-01,0.4750,1.281115e+00,5.499091e-01,7.253714e-01,7.256836e-01,7.256836e-01,0.4848,,,,,,,,,,,,,,0.13093264400959015,ok
ts,ntk,gelu,256,0,3,3.727063e+02,8.684827e-01,8.657119e-01,3.522944e-01,0.5000,1.219392e+00,5.499091e-01,7.172170e-01,7.172170e-01,7.172170e-01,0.5336,,,,,,,,,,,,,,0.13093264400959015,ok
ts,ntk,gelu,256,0,4,3.719542e+02,8.684827e-01,8.635598e-01,2.643689e-01,0.5250,1.130390e+00,5.499091e-01,7.013035e-01,7.015887e-01,7.015887e-01,0.6019,,,,,,,,,,,,,,0.13093264400959015,ok
ts,ntk,gelu,256,1,2,3.735996e+02,8.735579e-01,8.810704e-01,3.643471e-01,0.5000,1.241661e+00,5.528496e-01,7.248402e-01,7.248402e-01,7.248402e-01,0.5269,,,,,,,,,,,,,,0.1306808739900589,ok
ts,ntk,gelu,256,1,3,3.735833e+02,8.735579e-01,8.657120e-01,2.821030e-01,0.4750,1.151738e+00,5.528496e-01,7.121758e-01,7.121758e-01,7.120657e-01,0.5867,,,,,,,,,,,,,,0.1306808739900589,ok
ts,ntk,gelu,256,1,4,3.739876e+02,8.735579e-01,8.635598e-01,4.383881e-01,0.5000,1.306947e+00,5.528496e-01,7.398338e-01,7.398338e-01,7.398338e-01,0.4749,,,,,,,,,,,,,,0.1306808739900589,ok
ts,ntk,gelu,256,2,3,3.725472e+02,8.810705e-01,8.657120e-01,2.794612e-01,0.5000,1.152852e+00,5.565301e-01,7.089952e-01,7.089952e-01,7.089952e-01,0.6083,,,,,,,,,,,,,,0.12868639826774597,ok
ts,ntk,gelu,256,2,4,3.724058e+02,8.810705e-01,8.635598e-01,2.865598e-01,0.5000,1.158875e+00,5.565301e-01,7.115619e-01,7.115619e-01,7.115619e-01,0.5796,,,,,,,,,,,,,,0.12868639826774597,ok
ts,ntk,gelu,256,3,4,3.732026e+02,8.657120e-01,8.635598e-01,3.654143e-01,0.5250,1.230050e+00,5.510286e-01,7.159425e-01,7.159425e-01,7.158832e-01,0.5454,,,,,,,,,,,,,,0.12965768575668335,ok
ts,ntk,gelu,512,0,1,7.149854e+02,8.747735e-01,8.785162e-01,3.665774e-01,0.5000,1.243222e+00,5.525790e-01,7.398507e-01,7.398507e-01,7.398507e-01,0.5284,,,,,,,,,,,,,,0.07257473468780518,ok
ts,ntk,gelu,512,0,2,7.163033e+02,8.747735e-01,8.746304e-01,3.557409e-01,0.5000,1.230443e+00,5.525790e-01,7.289914e-01,7.289914e-01,7.289914e-01,0.5367,,,,,,,,,,,,,,0.07257473468780518,ok
ts,ntk,gelu,512,0,3,7.161078e+02,8.747735e-01,8.726534e-01,3.803084e-01,0.5000,1.254022e+00,5.525790e-01,7.488257e-01,7.488323e-01,7.488257e-01,0.5486,,,,,,,,,,,,,,0.07257473468780518,ok
ts,ntk,gelu,512,0,4,7.169371e+02,8.747735e-01,8.691256e-01,3.509559e-01,0.5000,1.222905e+00,5.525790e-01,7.326836e-01,7.326836e-01,7.326836e-01,0.5452,,,,,,,,,,,,,,0.07257473468780518,ok
ts,ntk,gelu,512,1,2,7.153224e+02,8.785162e-01,8.746304e-01,4.781585e-01,0.5000,1.354732e+00,5.551188e-01,7.582557e-01,7.582972e-01,7.582557e-01,0.4484,,,,,,,,,,,,,,0.07506898045539856,ok
ts,ntk,gelu,512,1,3,7.150042e+02,8.785162e-01,8.726534e-01,3.260541e-01,0.5000,1.201639e+00,5.551188e-01,7.302804e-01,7.302804e-01,7.302804e-01,0.5867,,,,,,,,,,,,,,0.07506898045539856,ok
ts,ntk,gelu,512,1,4,7.154995e+02,8.785162e-01,8.691256e-01,3.432491e-01,0.5000,1.217070e+00,5.551188e-01,7.416162e-01,7.416162e-01,7.416162e-01,0.5736,,,,,,,,,,,,,,0.07506898045539856,ok
ts,ntk,gelu,512,2,3,7.144247e+02,8.746304e-01,8.726534e-01,3.714305e-01,0.5000,1.245072e+00,5.547296e-01,7.392281e-01,7.392281e-01,7.392281e-01,0.5417,,,,,,,,,,,,,,0.07477649301290512,ok
ts,ntk,gelu,512,2,4,7.155329e+02,8.746304e-01,8.691256e-01,3.704349e-01,0.5000,1.242313e+00,5.547296e-01,7.369737e-01,7.369737e-01,7.369737e-01,0.5132,,,,,,,,,,,,,,0.07477649301290512,ok
ts,ntk,gelu,512,3,4,7.162854e+02,8.726534e-01,8.691256e-01,3.234806e-01,0.5000,1.194370e+00,5.524489e-01,7.309676e-01,7.309676e-01,7.309676e-01,0.5981,,,,,,,,,,,,,,0.07319843769073486,ok
ts,ntk,gelu,1024,0,1,1.408662e+03,8.804425e-01,8.891491e-01,4.215977e-01,0.5000,1.306393e+00,5.565524e-01,7.648901e-01,7.648901e-01,7.648901e-01,0.5670,,,,,,,,,,,,,,0.03996216133236885,ok
ts,ntk,gelu,1024,0,2,1.409048e+03,8.804425e-01,8.888897e-01,4.120495e-01,0.5000,1.296716e+00,5.565524e-01,7.696535e-01,7.696535e-01,7.696535e-01,0.5692,,,,,,,,,,,,,,0.03996216133236885,ok
ts,ntk,gelu,1024,0,3,1.408871e+03,8.804425e-01,8.779379e-01,3.883475e-01,0.5000,1.267538e+00,5.565524e-01,7.568253e-01,7.568253e-01,7.568253e-01,0.5689,,,,,,,,,,,,,,0.03996216133236885,ok
ts,ntk,gelu,1024,0,4,1.409764e+03,8.804425e-01,8.835320e-01,3.946913e-01,0.5000,1.276679e+00,5.565524e-01,7.585388e-01,7.585388e-01,7.585388e-01,0.5787,,,,,,,,,,,,,,0.03996216133236885,ok
ts,ntk,gelu,1024,1,2,1.409641e+03,8.891491e-01,8.888897e-01,3.863379e-01,0.5000,1.275357e+00,5.598423e-01,7.602596e-01,7.602596e-01,7.602596e-01,0.5902,,,,,,,,,,,,,,0.040461208671331406,ok
ts,ntk,gelu,1024,1,3,1.409513e+03,8.891491e-01,8.779379e-01,3.839223e-01,0.5000,1.267466e+00,5.598423e-01,7.565453e-01,7.565453e-01,7.565453e-01,0.5642,,,,,,,,,,,,,,0.040461208671331406,ok
ts,ntk,gelu,1024,1,4,1.409393e+03,8.891491e-01,8.835320e-01,3.523192e-01,0.5000,1.238660e+00,5.598423e-01,7.515386e-01,7.515386e-01,7.515386e-01,0.6023,,,,,,,,,,,,,,0.040461208671331406,ok
ts,ntk,gelu,1024,2,3,1.408604e+03,8.888897e-01,8.779379e-01,4.020521e-01,0.5000,1.285466e+00,5.593058e-01,7.478765e-01,7.478765e-01,7.478765e-01,0.5106,,,,,,,,,,,,,,0.040338072925806046,ok
ts,ntk,gelu,1024,2,4,1.408349e+03,8.888897e-01,8.835320e-01,4.091133e-01,0.5000,1.295324e+00,5.593058e-01,7.713910e-01,7.713910e-01,7.713910e-01,0.5865,,,,,,,,,,,,,,0.040338072925806046,ok
ts,ntk,gelu,1024,3,4,1.409657e+03,8.779379e-01,8.835320e-01,4.107475e-01,0.5000,1.291482e+00,5.563889e-01,7.710031e-01,7.710031e-01,7.710031e-01,0.5774,,,,,,,,,,,,,,0.039747223258018494,ok
ts,ntk,gelu,2048,0,1,2.812694e+03,8.929904e-01,8.925373e-01,4.658378e-01,0.5000,1.358602e+00,5.640548e-01,7.933231e-01,7.933231e-01,7.933231e-01,0.5333,,,,,,,,,,,,,,0.021699534729123116,ok
ts,ntk,gelu,2048,0,2,2.814615e+03,8.929904e-01,8.951799e-01,4.487630e-01,0.5000,1.342848e+00,5.640548e-01,7.802286e-01,7.802286e-01,7.802286e-01,0.5310,,,,,,,,,,,,,,0.021699534729123116,ok
ts,ntk,gelu,2048,0,3,2.814577e+03,8.929904e-01,8.921209e-01,4.117680e-01,0.5000,1.304324e+00,5.640548e-01,7.718747e-01,7.718747e-01,7.718747e-01,0.5763,,,,,,,,,,,,,,0.021699534729123116,ok
ts,ntk,gelu,2048,0,4,2.813905e+03,8.929904e-01,8.924737e-01,4.352049e-01,0.5000,1.327937e+00,5.640548e-01,7.778045e-01,7.778045e-01,7.778045e-01,0.5446,,,,,,,,,,,,,,0.021699534729123116,ok
ts,ntk,gelu,2048,1,2,2.815414e+03,8.925373e-01,8.951799e-01,4.320384e-01,0.5000,1.325897e+00,5.639312e-01,7.776414e-01,7.776414e-01,7.776414e-01,0.5773,,,,,,,,,,,,,,0.02142912894487381,ok
ts,ntk,gelu,2048,1,3,2.814506e+03,8.925373e-01,8.921209e-01,4.256484e-01,0.5000,1.317977e+00,5.639312e-01,7.783956e-01,7.783956e-01,7.783956e-01,0.5595,,,,,,,,,,,,,,0.02142912894487381,ok
ts,ntk,gelu,2048,1,4,2.813722e+03,8.925373e-01,8.924736e-01,4.371586e-01,0.5000,1.329664e+00,5.639312e-01,7.818090e-01,7.818090e-01,7.818090e-01,0.5670,,,,,,,,,,,,,,0.02142912894487381,ok
ts,ntk,gelu,2048,2,3,2.814799e+03,8.951799e-01,8.921209e-01,4.206664e-01,0.5000,1.314317e+00,5.651451e-01,7.709006e-01,7.709006e-01,7.709006e-01,0.5477,,,,,,,,,,,,,,0.02170705422759056,ok
ts,ntk,gelu,2048,2,4,2.813683e+03,8.951799e-01,8.924736e-01,4.293017e-01,0.5000,1.323129e+00,5.651451e-01,7.758866e-01,7.758866e-01,7.758866e-01,0.5657,,,,,,,,,,,,,,0.02170705422759056,ok
ts,ntk,gelu,2048,3,4,2.814220e+03,8.921209e-01,8.924737e-01,4.442626e-01,0.5000,1.336560e+00,5.646804e-01,7.827564e-01,7.827564e-01,7.827564e-01,0.5016,,,,,,,,,,,,,,0.021473605185747147,ok
ts,ntk,gelu,4096,0,1,5.644799e+03,9.044863e-01,9.094094e-01,4.465299e-01,0.5000,1.353478e+00,5.724982e-01,7.861921e-01,7.861921e-01,7.861921e-01,0.5067,,,,,,,,,,,,,,0.011144345626235008,ok
ts,ntk,gelu,4096,0,2,5.647268e+03,9.044863e-01,9.047308e-01,4.701009e-01,0.5000,1.374709e+00,5.724982e-01,7.952557e-01,7.952557e-01,7.952557e-01,0.5330,,,,,,,,,,,,,,0.011144345626235008,ok
ts,ntk,gelu,4096,0,3,5.645810e+03,9.044863e-01,9.014270e-01,4.728301e-01,0.5000,1.375787e+00,5.724982e-01,7.922635e-01,7.922635e-01,7.922635e-01,0.5222,,,,,,,,,,,,,,0.011144345626235008,ok
