kind,mode,shard,regime,act,width,seedA,seedB,dnorm,dev_geo,dev_rel,gamma_mid,flen_A,flen_mid,flen_B,rq_A,rq_mid,rq_B,lam,lam_rel,cg_resid,fd_instab,accA,accB,status
geo,cnn,,ntk,gelu,1,0,1,209.8561,9.656336e+01,4.601409e-01,1.219280e+03,1.203754e+01,1.189435e+01,1.351939e+01,5.466692e-04,5.401666e-04,6.139657e-04,8.5273e-02,0.01,9.60e-07,6.243e-01,0.8808,0.8847,ok
geo,cnn,,ntk,gelu,1,0,2,212.2576,9.422802e+01,4.439325e-01,8.854623e+02,2.173292e+01,2.069349e+01,2.316172e+01,9.647655e-04,9.186233e-04,1.028193e-03,8.5273e-02,0.01,9.81e-07,1.048e+00,0.8808,0.8814,ok
geo,cnn,,ntk,gelu,1,0,3,209.9594,8.953379e+01,4.264339e-01,2.233600e+03,2.066584e+01,6.260719e+01,8.519827e+00,9.375892e-04,2.840427e-03,3.865363e-04,8.5273e-02,0.01,9.66e-07,1.178e+00,0.8808,0.8874,ok
geo,cnn,,ntk,gelu,1,0,4,211.1986,9.551670e+01,4.522602e-01,1.296091e+03,2.303167e+01,2.725032e+01,2.325946e+01,1.032698e-03,1.221855e-03,1.042912e-03,8.5273e-02,0.01,9.46e-07,5.607e-01,0.8808,0.8863,ok
geo,cnn,,ntk,gelu,1,1,2,211.6648,1.464172e+02,6.917408e-01,1.872417e+02,1.991347e+01,1.785728e+00,1.424519e+01,8.889549e-04,7.971646e-05,6.359176e-04,9.7283e-02,0.01,9.58e-07,6.867e-01,0.8847,0.8814,ok
geo,cnn,,ntk,gelu,1,1,3,211.1827,1.264787e+02,5.989067e-01,3.114795e+03,1.907636e+01,8.086008e+01,1.509248e+01,8.554782e-04,3.626165e-03,6.768214e-04,9.7283e-02,0.01,9.38e-07,1.089e+00,0.8847,0.8874,ok
geo,cnn,,ntk,gelu,1,1,4,210.9591,1.194016e+02,5.659940e-01,5.698573e+02,1.255119e+01,2.928131e+01,1.471359e+01,5.640511e-04,1.315904e-03,6.612297e-04,9.7283e-02,0.01,9.86e-07,9.298e-01,0.8847,0.8863,ok
geo,cnn,,ntk,gelu,1,2,3,211.9735,9.173064e+01,4.327458e-01,2.031398e+03,1.062926e+01,2.754589e+01,2.559730e+01,4.731186e-04,1.226094e-03,1.139360e-03,6.8838e-02,0.01,9.70e-07,4.562e-01,0.8814,0.8874,ok
geo,cnn,,ntk,gelu,1,2,4,211.6862,8.011549e+01,3.784635e-01,1.405723e+03,1.805500e+01,2.210691e+01,1.317793e+01,8.058281e-04,9.866725e-04,5.881558e-04,6.8838e-02,0.01,9.90e-07,5.453e-01,0.8814,0.8863,ok
geo,cnn,,ntk,gelu,1,3,4,212.3804,1.363202e+02,6.418678e-01,3.526865e+03,8.155811e+00,4.318757e+01,8.291540e+00,3.616330e-04,1.914960e-03,3.676513e-04,6.7913e-02,0.01,9.63e-07,8.688e-01,0.8874,0.8863,ok
geo,cnn,,ntk,gelu,2,0,1,418.2406,9.923746e+01,2.372736e-01,1.227493e+03,9.232797e+00,1.109595e+01,1.367183e+01,1.055628e-04,1.268651e-04,1.563162e-04,7.2911e-02,0.01,9.00e-07,7.978e-01,0.8874,0.8843,ok
geo,cnn,,ntk,gelu,2,0,2,416.9936,1.635074e+02,3.921101e-01,1.566814e+03,2.763584e+01,9.479440e+00,1.956606e+01,3.178658e-04,1.090320e-04,2.250477e-04,7.2911e-02,0.01,9.58e-07,7.229e-01,0.8874,0.8855,ok
geo,cnn,,ntk,gelu,2,0,3,416.4931,1.927508e+02,4.627947e-01,2.751704e+03,1.073119e+01,4.468237e+01,1.077718e+01,1.237264e-04,5.151700e-04,1.242566e-04,7.2911e-02,0.01,9.94e-07,7.426e-01,0.8874,0.8885,ok
geo,cnn,,ntk,gelu,2,0,4,417.3779,1.812289e+02,4.342081e-01,2.158436e+03,3.112886e+01,8.343302e+01,2.290074e+01,3.573834e-04,9.578757e-04,2.629182e-04,7.2911e-02,0.01,9.04e-07,1.353e+00,0.8874,0.8861,ok
geo,cnn,,ntk,gelu,2,1,2,416.2783,8.034653e+01,1.930116e-01,4.545106e+02,1.523547e+01,2.633724e+00,1.514168e+01,1.758402e-04,3.039714e-05,1.747578e-04,1.0084e-01,0.01,9.52e-07,9.975e-01,0.8843,0.8855,ok
geo,cnn,,ntk,gelu,2,1,3,416.3891,6.742829e+01,1.619358e-01,9.373932e+02,1.435564e+01,3.129770e+01,1.419825e+01,1.655975e-04,3.610303e-04,1.637820e-04,1.0084e-01,0.01,9.74e-07,8.343e-01,0.8843,0.8885,ok
geo,cnn,,ntk,gelu,2,1,4,418.9084,9.666327e+01,2.307503e-01,1.345193e+03,1.308934e+01,3.924474e+01,8.982563e+00,1.491796e-04,4.472736e-04,1.023746e-04,1.0084e-01,0.01,8.78e-07,6.106e-01,0.8843,0.8861,ok
geo,cnn,,ntk,gelu,2,2,3,415.1962,7.019491e+01,1.690644e-01,1.184040e+03,1.376049e+01,2.185388e+01,3.272811e+01,1.596456e-04,2.535432e-04,3.797032e-04,8.5816e-02,0.01,9.89e-07,6.083e-01,0.8855,0.8885,ok
geo,cnn,,ntk,gelu,2,2,4,417.1223,1.202859e+02,2.883708e-01,2.174757e+03,1.401940e+01,3.799374e+01,1.883476e+01,1.611508e-04,4.367322e-04,2.165026e-04,8.5816e-02,0.01,9.92e-07,1.887e+00,0.8855,0.8861,ok
geo,cnn,,ntk,gelu,2,3,4,415.9634,1.248748e+02,3.002062e-01,1.519751e+03,1.066708e+01,3.003316e+01,1.383349e+01,1.233006e-04,3.471528e-04,1.599011e-04,7.0774e-02,0.01,8.42e-07,1.328e+00,0.8885,0.8861,ok
geo,cnn,,ntk,gelu,4,0,1,832.381,1.216692e+02,1.461701e-01,1.512303e+03,2.560910e+01,2.208997e+01,1.730999e+01,7.392306e-05,6.376478e-05,4.996692e-05,9.0590e-02,0.01,9.10e-07,1.270e+00,0.8916,0.8878,ok
geo,cnn,,ntk,gelu,4,0,2,831.0004,2.345866e+02,2.822942e-01,1.651746e+03,1.022351e+01,1.166740e+01,1.095706e+01,2.960925e-05,3.379106e-05,3.173375e-05,9.0590e-02,0.01,9.73e-07,6.002e-01,0.8916,0.8866,ok
geo,cnn,,ntk,gelu,4,0,3,830.5991,1.536875e+02,1.850322e-01,1.156146e+03,6.279999e+00,1.458140e+01,1.713080e+01,1.820567e-05,4.227137e-05,4.966206e-05,9.0590e-02,0.01,9.95e-07,5.849e-01,0.8916,0.8856,ok
geo,cnn,,ntk,gelu,4,0,4,832.0867,1.344333e+02,1.615616e-01,1.495065e+03,9.567737e+00,6.943041e+00,2.193523e+01,2.763771e-05,2.005592e-05,6.336290e-05,9.0590e-02,0.01,9.09e-07,6.709e-01,0.8916,0.8862,ok
geo,cnn,,ntk,gelu,4,1,2,831.1684,9.010885e+01,1.084123e-01,8.350270e+02,1.305729e+01,1.213463e+01,1.168222e+01,3.780114e-05,3.513001e-05,3.382029e-05,8.8217e-02,0.01,9.04e-07,1.172e+00,0.8878,0.8866,ok
geo,cnn,,ntk,gelu,4,1,3,832.5917,1.699106e+02,2.040744e-01,2.045970e+03,1.248257e+01,1.824042e+01,4.801455e+00,3.601389e-05,5.262605e-05,1.385284e-05,8.8217e-02,0.01,9.14e-07,5.402e-01,0.8878,0.8856,ok
geo,cnn,,ntk,gelu,4,1,4,833.4817,1.357723e+02,1.628977e-01,2.630290e+03,2.119773e+01,1.854155e+01,1.870935e+01,6.102772e-05,5.338067e-05,5.386375e-05,8.8217e-02,0.01,9.30e-07,9.437e-01,0.8878,0.8862,ok
geo,cnn,,ntk,gelu,4,2,3,833.4907,1.309526e+02,1.571135e-01,1.433680e+03,1.413377e+01,1.065285e+01,1.402445e+01,4.068987e-05,3.066863e-05,4.037518e-05,9.8847e-02,0.01,8.27e-07,7.858e-01,0.8866,0.8856,ok
geo,cnn,,ntk,gelu,4,2,4,833.9175,2.080875e+02,2.495301e-01,2.123676e+03,8.328385e+00,2.244538e+01,1.757754e+01,2.395216e-05,6.455217e-05,5.055241e-05,9.8847e-02,0.01,9.44e-07,1.343e+00,0.8866,0.8862,ok
geo,cnn,,ntk,gelu,4,3,4,832.8447,9.533733e+01,1.144719e-01,1.445428e+03,4.132811e+01,1.073720e+01,1.302351e+01,1.191647e-04,3.095942e-05,3.755173e-05,7.8007e-02,0.01,9.90e-07,1.202e+00,0.8856,0.8862,ok
