mode,regime,act,width,n_seeds,n_pairs,acc_med,dF_med,dF_q1,dF_q3,dev_rel_med,dev_rel_q1,dev_rel_q3,dev_rel2_med,gamma_mid_med,flen_mid_med,flen_mid_q1,flen_mid_q3,rq_mid_med,fd_instab_med,alpha_dF,alpha_dF_r2,alpha_devrel2,alpha_devrel2_r2,alpha_flen,alpha_flen_r2
mlp,mup,gelu,64,,10,,,,,0.10425385000000001,0.098145745,0.110356525,0.003734110116801613,61.33105499999999,0.6238826,0.577458125,0.763936175,0.0015922185,0.009573,,,1.0373,0.9836,1.4125,0.966
mlp,mup,gelu,128,,10,,,,,0.042608385,0.0402373025,0.043823815,0.0011424708968694728,33.81234,0.12041299999999999,0.11447112499999999,0.168166225,0.00017593345000000002,0.03579,,,1.0373,0.9836,1.4125,0.966
mlp,mup,gelu,256,,10,,,,,0.0251405,0.0234191975,0.027425585,0.0005050622202496587,23.406205,0.03685099,0.0294602,0.0443727,2.979857e-05,0.0576,,,1.0373,0.9836,1.4125,0.966
mlp,mup,gelu,512,,10,,,,,0.01981265,0.014903695,0.02503276,0.00029306508888496787,18.34447,0.01418789,0.0110951125,0.0174412525,6.2543055000000005e-06,0.14639999999999997,,,1.0373,0.9836,1.4125,0.966
mlp,mup,gelu,1024,,10,,,,,0.0133889,0.0120639325,0.014493527499999999,0.000142223035912407,15.8781,0.0052102545,0.0040897575,0.00683454675,1.17075e-06,0.23885,,,1.0373,0.9836,1.4125,0.966
mlp,mup,gelu,2048,,10,,,,,0.009172611,0.008780911249999999,0.0101199995,6.936031165315359e-05,14.359375,0.0023469095,0.001790529,0.0028036635000000002,2.692331e-07,0.32585,,,1.0373,0.9836,1.4125,0.966
mlp,mup,gelu,4096,,10,,,,,0.0084006625,0.0076182025,0.009012606000000001,4.490563539417001e-05,15.694745000000001,0.0017780159999999999,0.00140192675,0.00229336875,1.0214921500000001e-07,0.36415,,,1.0373,0.9836,1.4125,0.966
mlp,mup,softplus,64,,10,,,,,0.062108145,0.0538709675,0.06585048,0.0022836750094027605,26.46362,0.25410105,0.22161287500000001,0.290708425,0.00068198445,0.0083205,,,0.9805,0.9855,1.324,0.9617
mlp,mup,softplus,128,,10,,,,,0.030170870000000002,0.02814178,0.031805015,0.0008566813739722672,19.09075,0.050152760000000005,0.047664055000000004,0.0629917825,8.108026e-05,0.02626,,,0.9805,0.9855,1.324,0.9617
mlp,mup,softplus,256,,10,,,,,0.017790095,0.0166959375,0.019199797499999997,0.00037589812190268093,15.2832,0.01446646,0.010892625,0.0182093875,1.29013e-05,0.057495000000000004,,,0.9805,0.9855,1.324,0.9617
mlp,mup,softplus,512,,10,,,,,0.012307175,0.0119037225,0.0128038,0.00019101259628903812,12.510045,0.0061308985,0.0057417182500000006,0.007536104,2.9819914999999997e-06,0.08294499999999999,,,0.9805,0.9855,1.324,0.9617
mlp,mup,softplus,1024,,10,,,,,0.0100086145,0.00948378,0.010681505,0.00011293974591152653,11.337969999999999,0.003153276,0.002974795,0.0040447265,8.02629e-07,0.18225,,,0.9805,0.9855,1.324,0.9617
mlp,mup,softplus,2048,,10,,,,,0.0068697385,0.005879711,0.0071549755,5.536986772167248e-05,9.15121,0.0013188625,0.00112910925,0.00169303925,1.716717e-07,0.304,,,0.9805,0.9855,1.324,0.9617
mlp,mup,softplus,4096,,10,,,,,0.006522362,0.006307505,0.0067623215,3.722986838750664e-05,10.706775,0.0009101248500000001,0.000782112375,0.00102442725,5.9165840000000004e-08,0.4293,,,0.9805,0.9855,1.324,0.9617
mlp,mup,swish,64,,10,,,,,0.08413952,0.07267908249999999,0.09906134,0.0030976063531232105,40.225745,0.50400115,0.46384475000000003,0.5706008499999999,0.0013588915,0.01038,,,1.0059,0.9872,1.4286,0.97
mlp,mup,swish,128,,10,,,,,0.04357144,0.0372596275,0.047417337500000004,0.0012002058397379831,29.779429999999998,0.1211763,0.104913325,0.14908975,0.00018513595,0.03541,,,1.0059,0.9872,1.4286,0.97
mlp,mup,swish,256,,10,,,,,0.022045965,0.021603064999999998,0.0230936175,0.00045547083330385477,19.49315,0.027066495,0.023621805,0.0301425975,2.2886104999999998e-05,0.059285000000000004,,,1.0059,0.9872,1.4286,0.97
mlp,mup,swish,512,,10,,,,,0.017643795,0.016913662500000003,0.018885442500000002,0.0002644742945828026,16.713165,0.01099837,0.00888568,0.012642475,4.920747e-06,0.13985,,,1.0059,0.9872,1.4286,0.97
mlp,mup,swish,1024,,10,,,,,0.013272975,0.0129144175,0.0141124225,0.0001435052903389459,15.066244999999999,0.0050907734999999996,0.00378096475,0.0061636835,1.195591e-06,0.24824999999999997,,,1.0059,0.9872,1.4286,0.97
mlp,mup,swish,2048,,10,,,,,0.009792819500000001,0.009223516000000001,0.01061044,7.52815301766456e-05,12.907175,0.0019849285,0.00161116275,0.0027462487500000002,2.3609135e-07,0.4407,,,1.0059,0.9872,1.4286,0.97
mlp,mup,swish,4096,,10,,,,,0.0079299855,0.0072145659999999995,0.0095750005,4.3035247196192624e-05,15.470479999999998,0.001321283,0.0010816995,0.0019719135,7.814293499999999e-08,0.4737,,,1.0059,0.9872,1.4286,0.97
mlp,mup,tanh,64,,10,,,,,0.27241574999999996,0.26340769999999997,0.30831095,0.009282726269897568,163.29520000000002,3.0446454999999997,2.4404250000000003,3.28484525,0.00697553,0.0018005,,,0.6414,0.9076,0.9139,0.9199
mlp,mup,tanh,128,,10,,,,,0.1212058,0.11078532499999999,0.13872075,0.0031664531847529096,105.0156,0.66184495,0.57097875,0.7348855000000001,0.00092116455,0.004871,,,0.6414,0.9076,0.9139,0.9199
mlp,mup,tanh,256,,10,,,,,0.082857815,0.07343042500000001,0.100214205,0.0016136251453658145,89.760505,0.2471588,0.214844425,0.381531275,0.0001854495,0.008555,,,0.6414,0.9076,0.9139,0.9199
mlp,mup,tanh,512,,10,,,,,0.084628035,0.07486733749999999,0.0910375225,0.0011668085630804344,125.13815,0.17649769999999998,0.16644245000000002,0.208616875,6.6269795e-05,0.015295,,,0.6414,0.9076,0.9139,0.9199
mlp,mup,tanh,1024,,10,,,,,0.08467079,0.08007362500000001,0.0902856925,0.0008162806130971492,159.39319999999998,0.12836805,0.1137288,0.14908045,2.3726365e-05,0.022004999999999997,,,0.6414,0.9076,0.9139,0.9199
mlp,mup,tanh,2048,,10,,,,,0.10169254999999999,0.0948740525,0.11185625,0.0006795852191054104,253.06470000000002,0.07907852,0.068671805,0.08354079249999999,7.1632495e-06,0.03296,,,0.6414,0.9076,0.9139,0.9199
mlp,mup,tanh,4096,,10,,,,,0.10809685,0.09913336,0.11867325000000001,0.0005126935394073348,309.71680000000003,0.042251369999999996,0.0383882075,0.044151687499999995,1.900621e-06,0.03785,,,0.6414,0.9076,0.9139,0.9199
mlp,ntk,gelu,64,,10,,,,,0.017271960000000003,0.016508845,0.017682805,5.3753609421115716e-05,88.20265,0.6836245000000001,0.5798724,0.76135955,1.32289e-05,0.011300000000000001,,,1.0484,0.98,0.3484,0.9841
mlp,ntk,gelu,128,,10,,,,,0.01491427,0.0146690625,0.01585481,3.20501168493085e-05,115.97575,0.5535896,0.45843802499999997,0.62734305,5.0931065e-06,0.01663,,,1.0484,0.98,0.3484,0.9841
mlp,ntk,gelu,256,,10,,,,,0.013260075,0.012829387499999999,0.0135341325,1.8991442500797958e-05,156.1203,0.40700590000000003,0.402894,0.447758325,1.671581e-06,0.020464999999999997,,,1.0484,0.98,0.3484,0.9841
mlp,ntk,gelu,512,,10,,,,,0.011178215,0.0109632725,0.0113565425,1.0182673565522377e-05,208.9192,0.3789391,0.34690285,0.414010325,6.2898615e-07,0.03258,,,1.0484,0.98,0.3484,0.9841
mlp,ntk,gelu,1024,,10,,,,,0.008585408499999999,0.00844146175,0.00866029125,4.672423590817589e-06,254.94795,0.2900378,0.2484888,0.309636825,1.7190685000000002e-07,0.052625,,,1.0484,0.98,0.3484,0.9841
mlp,ntk,gelu,2048,,10,,,,,0.006103636,0.005977550999999999,0.00615495125,1.863303619095649e-06,299.40805,0.20294095,0.165772975,0.23564485000000002,3.782658e-08,0.08926500000000001,,,1.0484,0.98,0.3484,0.9841
mlp,ntk,gelu,4096,,10,,,,,0.003969519499999999,0.003927292000000001,0.004009657,6.479614142018539e-07,318.584,0.15691424999999998,0.13600432499999998,0.171136275,8.352614e-09,0.14225,,,1.0484,0.98,0.3484,0.9841
mlp,ntk,softplus,64,,10,,,,,0.01116821,0.010646919999999999,0.0113039875,3.474526440685811e-05,48.29895,0.25212,0.24302215,0.3886607,4.9082615e-06,0.016995,,,1.0563,0.9676,0.3856,0.9255
