kind,mode,shard,regime,act,width,seedA,seedB,dnorm,dev_geo,dev_rel,gamma_mid,flen_A,flen_mid,flen_B,rq_A,rq_mid,rq_B,lam,lam_rel,cg_resid,fd_instab,accA,accB,status
geo,mlp,,ntk,gelu,64,0,1,321.0681,5.588902e+00,1.740722e-02,8.991858e+01,1.508867e+00,6.571789e-01,1.543914e+00,2.927431e-05,1.275027e-05,2.995427e-05,2.7628e-03,0.01,9.71e-07,1.375e-02,0.9284,0.9323,ok
geo,mlp,,ntk,gelu,64,0,2,321.0594,6.446095e+00,2.007758e-02,9.836668e+01,2.438891e+00,1.036850e+00,2.469981e+00,4.732076e-05,2.011757e-05,4.792400e-05,2.7628e-03,0.01,9.79e-07,1.071e-02,0.9284,0.9248,ok
geo,mlp,,ntk,gelu,64,0,3,321.6203,5.680632e+00,1.766254e-02,8.951765e+01,1.980162e+00,4.722396e-01,2.028635e+00,3.828634e-05,9.130729e-06,3.922356e-05,2.7628e-03,0.01,8.89e-07,1.383e-02,0.9284,0.9281,ok
geo,mlp,,ntk,gelu,64,0,4,321.9838,5.260569e+00,1.633799e-02,8.761498e+01,1.800543e+00,5.797749e-01,1.961513e+00,3.473485e-05,1.118462e-05,3.784017e-05,2.7628e-03,0.01,9.17e-07,9.255e-03,0.9284,0.932,ok
geo,mlp,,ntk,gelu,64,1,2,321.3613,4.826476e+00,1.501885e-02,7.462540e+01,1.960628e+00,7.142771e-01,2.061696e+00,3.796978e-05,1.383278e-05,3.992707e-05,3.0904e-03,0.01,9.53e-07,9.461e-03,0.9323,0.9248,ok
geo,mlp,,ntk,gelu,64,1,3,321.5706,5.510659e+00,1.713670e-02,7.964802e+01,2.459135e+00,7.770537e-01,2.797590e+00,4.756196e-05,1.502894e-05,5.410800e-05,3.0904e-03,0.01,1.00e-06,8.385e-03,0.9323,0.9281,ok
geo,mlp,,ntk,gelu,64,1,4,321.8741,5.693810e+00,1.768956e-02,8.879032e+01,1.835440e+00,7.100701e-01,2.726131e+00,3.543218e-05,1.370753e-05,5.262651e-05,3.0904e-03,0.01,8.87e-07,1.189e-02,0.9323,0.932,ok
geo,mlp,,ntk,gelu,64,2,3,321.9756,5.931206e+00,1.842129e-02,1.008675e+02,2.368064e+00,1.082926e+00,2.198306e+00,4.568541e-05,2.089214e-05,4.241039e-05,3.5151e-03,0.01,9.83e-07,1.241e-02,0.9248,0.9281,ok
geo,mlp,,ntk,gelu,64,2,4,321.9274,5.479659e+00,1.702141e-02,8.691762e+01,2.292650e+00,5.801649e-01,2.539404e+00,4.424375e-05,1.119607e-05,4.900563e-05,3.5151e-03,0.01,8.57e-07,1.204e-02,0.9248,0.932,ok
geo,mlp,,ntk,gelu,64,3,4,322.1512,4.821769e+00,1.496741e-02,7.598910e+01,2.027249e+00,5.409247e-01,1.795018e+00,3.906769e-05,1.042431e-05,3.459229e-05,3.1693e-03,0.01,9.71e-07,1.023e-02,0.9281,0.932,ok
