mode,regime,act,width,n_seeds,n_pairs,acc_med,dF_med,dF_q1,dF_q3,dev_rel_med,dev_rel_q1,dev_rel_q3,dev_rel2_med,gamma_mid_med,flen_mid_med,flen_mid_q1,flen_mid_q3,rq_mid_med,fd_instab_med,alpha_dF,alpha_dF_r2,alpha_devrel2,alpha_devrel2_r2,alpha_flen,alpha_flen_r2
ts,mup,gelu,64,,10,,,,,0.1294836,0.12395895,0.13853949999999998,0.003364436387875515,101.2244,5.145403999999999,4.754974750000001,5.61475175,0.006992427,0.0026325000000000003,,,1.0697,0.9853,1.4182,0.9954
ts,mup,gelu,128,,10,,,,,0.13066234999999998,0.1297643,0.132621875,0.0023196219536241935,125.3375,2.7721725,2.61455775,2.887522,0.001753358,0.04557,,,1.0697,0.9853,1.4182,0.9954
ts,mup,gelu,256,,10,,,,,0.076413375,0.07332199249999999,0.07967772000000001,0.0010942555544448986,82.49185,0.83038965,0.756496575,0.89369685,0.0003430053,0.1126,,,1.0697,0.9853,1.4182,0.9954
ts,mup,gelu,512,,10,,,,,0.035061225,0.0341660075,0.0368669525,0.0004021932732325129,55.20333,0.272202,0.22831685,0.286633325,7.178132e-05,0.19075,,,1.0697,0.9853,1.4182,0.9954
ts,mup,gelu,1024,,10,,,,,0.01850411,0.01783593,0.02024687,0.0001616412300102645,44.314139999999995,0.1080718,0.10244785000000001,0.11357125,1.585763e-05,0.27675,,,1.0697,0.9853,1.4182,0.9954
ts,mup,gelu,2048,,10,,,,,0.01331248,0.0128503125,0.01420015,8.455770919023823e-05,37.312110000000004,0.037875985,0.03550879,0.039604575,3.0120564999999997e-06,0.3841,,,1.0697,0.9853,1.4182,0.9954
ts,mup,gelu,4096,,10,,,,,0.01249488,0.011264152500000001,0.0127267175,5.716720722576324e-05,32.467845,0.018407885,0.017373707500000002,0.019348474999999997,7.706375499999999e-07,0.52725,,,1.0697,0.9853,1.4182,0.9954
ts,mup,softplus,64,,10,,,,,0.081181915,0.07958481,0.0823292225,0.0018916763262936324,60.20415,3.6403055,3.29010275,3.8076367500000003,0.00385632,0.0029614999999999997,,,1.0463,0.9871,1.3321,0.9922
ts,mup,softplus,128,,10,,,,,0.087036295,0.08272107000000001,0.09155957,0.0014860140210150963,70.89038,1.594882,1.488318,1.71094825,0.0009368460500000001,0.02475,,,1.0463,0.9871,1.3321,0.9922
ts,mup,softplus,256,,10,,,,,0.050123755,0.048595219999999995,0.05201795,0.0006646106892723994,53.971945000000005,0.48224564999999997,0.462197675,0.51367725,0.0001710176,0.060289999999999996,,,1.0463,0.9871,1.3321,0.9922
ts,mup,softplus,512,,10,,,,,0.025883275,0.02508316,0.0280697825,0.00027009523366062604,42.047794999999994,0.164476,0.159940675,0.17008974999999998,3.5884300000000005e-05,0.09903500000000001,,,1.0463,0.9871,1.3321,0.9922
ts,mup,softplus,1024,,10,,,,,0.01484152,0.014273965,0.01572441,0.00011678939619266782,35.952265,0.06824934,0.058813585,0.0819191175,8.4765575e-06,0.17945,,,1.0463,0.9871,1.3321,0.9922
ts,mup,softplus,2048,,10,,,,,0.0094099685,0.009140984250000001,0.00958990275,5.549422990281305e-05,27.757765,0.036089449999999995,0.0319980225,0.04031735,2.5306595000000002e-06,0.23625000000000002,,,1.0463,0.9871,1.3321,0.9922
ts,mup,softplus,4096,,10,,,,,0.007954448499999999,0.00721401325,0.008286909,3.472497907070884e-05,22.413265000000003,0.015785815,0.01413339,0.0198406525,6.042472e-07,0.3947,,,1.0463,0.9871,1.3321,0.9922
ts,mup,swish,64,,10,,,,,0.12156525,0.1197409,0.126310875,0.003187840537249028,93.91977499999999,4.4638795,4.16763625,4.808593999999999,0.0061276915,0.0032525,,,1.1083,0.9916,1.4614,0.9913
ts,mup,swish,128,,10,,,,,0.11987265,0.116432975,0.120114,0.00217641870771672,103.49795,2.3083035,2.1005755,2.46252525,0.001535563,0.046345,,,1.1083,0.9916,1.4614,0.9913
ts,mup,swish,256,,10,,,,,0.061665004999999995,0.0552858025,0.0717885175,0.0009525340592092876,58.904025000000004,0.5796068,0.5644956750000001,0.594552475,0.00026866469999999997,0.08624499999999999,,,1.1083,0.9916,1.4614,0.9913
ts,mup,swish,512,,10,,,,,0.032693879999999995,0.030823025,0.034463375,0.00038766968495688265,47.412445000000005,0.1946239,0.182754975,0.203367775,5.506012e-05,0.13785,,,1.1083,0.9916,1.4614,0.9913
ts,mup,swish,1024,,10,,,,,0.017514830000000002,0.0171407875,0.0177367575,0.0001567386145815813,39.55498,0.064516565,0.061686875,0.0699056225,1.027284e-05,0.1911,,,1.1083,0.9916,1.4614,0.9913
ts,mup,swish,2048,,10,,,,,0.01090049,0.0103864275,0.012258857500000001,7.279881068680988e-05,31.853294999999996,0.02722023,0.02628768,0.032151605,2.4106329999999997e-06,0.2973,,,1.1083,0.9916,1.4614,0.9913
ts,mup,swish,4096,,10,,,,,0.008684807,0.008305126500000001,0.009562339500000001,4.3113908125197225e-05,26.092695,0.014031555000000001,0.012982832500000001,0.014544595,6.899071e-07,0.36550000000000005,,,1.1083,0.9916,1.4614,0.9913
ts,mup,tanh,64,,10,,,,,0.3133573,0.29941209999999996,0.32262057499999997,0.0062180335275158335,355.3764,20.811549999999997,19.7447275,22.178805,0.016099785,0.0014659999999999999,,,0.4742,0.9439,1.1264,0.9917
ts,mup,tanh,128,,10,,,,,0.19912734999999998,0.19753285,0.205849775,0.0034748123635584775,225.46145,7.764252,7.566715500000001,8.4084255,0.0047827045,0.0034145,,,0.4742,0.9439,1.1264,0.9917
ts,mup,tanh,256,,10,,,,,0.1466959,0.145285275,0.14817095,0.0021919364183462884,150.62465,3.3221265,3.2545034999999998,3.568557,0.0014890379999999998,0.0092945,,,0.4742,0.9439,1.1264,0.9917
ts,mup,tanh,512,,10,,,,,0.12905405,0.124663175,0.13076132499999998,0.001546274502063644,148.7496,2.085063,2.0155035,2.12289125,0.0005972215,0.02385,,,0.4742,0.9439,1.1264,0.9917
ts,mup,tanh,1024,,10,,,,,0.12187215,0.11788955000000001,0.12364595,0.0011262240966662042,170.00895,0.9943251500000001,0.966252725,1.035732,0.00017023945,0.047295000000000004,,,0.4742,0.9439,1.1264,0.9917
ts,mup,tanh,2048,,10,,,,,0.1375034,0.13334922500000002,0.144851,0.0009617296204896847,222.77295,0.42527590000000004,0.421437875,0.430695825,4.1542790000000004e-05,0.064775,,,0.4742,0.9439,1.1264,0.9917
