kind,mode,shard,regime,act,width,seedA,seedB,dnorm,dev_geo,dev_rel,gamma_mid,flen_A,flen_mid,flen_B,rq_A,rq_mid,rq_B,lam,lam_rel,cg_resid,fd_instab,accA,accB,status
geo,ts,,ntk,gelu,64,0,1,116.7105,2.086731e+00,1.787954e-02,2.286091e+01,1.637474e+00,2.398975e-01,2.332689e+00,2.404276e-04,3.522375e-05,3.425047e-04,1.1768e-02,0.01,8.90e-07,6.130e-03,0.6499,0.6608,ok
geo,ts,,ntk,gelu,64,0,2,117.3306,2.035670e+00,1.734987e-02,2.261745e+01,2.006328e+00,1.918101e-01,1.886351e+00,2.914806e-04,2.786630e-05,2.740504e-04,1.1768e-02,0.01,9.79e-07,4.878e-03,0.6499,0.6541,ok
geo,ts,,ntk,gelu,64,0,3,117.581,2.197786e+00,1.869168e-02,2.543948e+01,3.370700e+00,3.908115e-01,2.791074e+00,4.876138e-04,5.653576e-05,4.037637e-04,1.1768e-02,0.01,9.93e-07,5.161e-03,0.6499,0.6555,ok
geo,ts,,ntk,gelu,64,0,4,117.7551,2.341791e+00,1.988697e-02,2.892433e+01,2.405308e+00,3.356596e-01,3.054698e+00,3.469297e-04,4.841388e-05,4.405946e-04,1.1768e-02,0.01,6.82e-07,3.796e-03,0.6499,0.6571,ok
geo,ts,,ntk,gelu,64,1,2,118.5044,2.062809e+00,1.740702e-02,2.517939e+01,3.328763e+00,3.424630e-01,3.787150e+00,4.740713e-04,4.877244e-05,5.393533e-04,1.2891e-02,0.01,9.60e-07,4.165e-03,0.6608,0.6541,ok
geo,ts,,ntk,gelu,64,1,3,117.5116,1.996337e+00,1.698843e-02,2.235753e+01,3.039763e+00,3.414509e-01,2.772877e+00,4.402594e-04,4.945352e-05,4.016053e-04,1.2891e-02,0.01,9.37e-07,3.446e-03,0.6608,0.6555,ok
geo,ts,,ntk,gelu,64,1,4,117.9019,1.953205e+00,1.656637e-02,2.234700e+01,5.242229e+00,3.960648e-01,2.456439e+00,7.542315e-04,5.698426e-05,3.534229e-04,1.2891e-02,0.01,8.67e-07,4.129e-03,0.6608,0.6571,ok
geo,ts,,ntk,gelu,64,2,3,118.2841,2.000144e+00,1.690966e-02,2.366795e+01,2.689293e+00,3.710195e-01,2.538378e+00,3.844280e-04,5.303635e-05,3.628551e-04,1.2759e-02,0.01,9.68e-07,6.335e-03,0.6541,0.6555,ok
geo,ts,,ntk,gelu,64,2,4,118.8325,2.557318e+00,2.152035e-02,3.283952e+01,3.300696e+00,5.656937e-01,4.025766e+00,4.674820e-04,8.011996e-05,5.701746e-04,1.2759e-02,0.01,9.92e-07,4.992e-03,0.6541,0.6571,ok
geo,ts,,ntk,gelu,64,3,4,117.8593,1.964876e+00,1.667137e-02,1.981299e+01,3.626610e+00,3.012711e-01,3.063209e+00,5.221591e-04,4.337700e-05,4.410406e-04,1.2430e-02,0.01,8.82e-07,3.721e-03,0.6555,0.6571,ok
geo,ts,,ntk,gelu,128,0,1,202.2399,2.658866e+00,1.314709e-02,3.085197e+01,2.984044e+00,2.047093e-01,2.608522e+00,1.459155e-04,1.000999e-05,1.275530e-04,9.1139e-03,0.01,9.86e-07,6.677e-03,0.6579,0.6557,ok
geo,ts,,ntk,gelu,128,0,2,203.1036,2.478156e+00,1.220144e-02,2.904037e+01,1.865256e+00,2.639714e-01,1.900841e+00,9.043431e-05,1.279828e-05,9.215960e-05,9.1139e-03,0.01,7.60e-07,6.166e-03,0.6579,0.654,ok
geo,ts,,ntk,gelu,128,0,3,203.5386,2.754900e+00,1.353502e-02,3.323826e+01,2.577723e+00,2.863237e-01,2.032318e+00,1.244436e-04,1.382272e-05,9.811336e-05,9.1139e-03,0.01,8.28e-07,6.673e-03,0.6579,0.6485,ok
geo,ts,,ntk,gelu,128,0,4,203.8744,2.556031e+00,1.253729e-02,2.851197e+01,2.577350e+00,3.491203e-01,4.429485e+00,1.240161e-04,1.679886e-05,2.131365e-04,9.1139e-03,0.01,9.77e-07,5.782e-03,0.6579,0.657,ok
geo,ts,,ntk,gelu,128,1,2,203.7256,2.650093e+00,1.300815e-02,3.196884e+01,3.719736e+00,3.406872e-01,2.350555e+00,1.792466e-04,1.641703e-05,1.132685e-04,1.0187e-02,0.01,8.84e-07,8.818e-03,0.6557,0.654,ok
geo,ts,,ntk,gelu,128,1,3,202.9189,2.584769e+00,1.273794e-02,3.128270e+01,2.289788e+00,3.933138e-01,2.423965e+00,1.112194e-04,1.910400e-05,1.177366e-04,1.0187e-02,0.01,9.79e-07,5.298e-03,0.6557,0.6485,ok
geo,ts,,ntk,gelu,128,1,4,203.8584,2.432359e+00,1.193161e-02,2.722139e+01,2.871042e+00,3.563913e-01,2.745395e+00,1.381695e-04,1.715141e-05,1.321227e-04,1.0187e-02,0.01,7.56e-07,6.111e-03,0.6557,0.657,ok
geo,ts,,ntk,gelu,128,2,3,202.821,2.758326e+00,1.359981e-02,3.201360e+01,4.906023e+00,2.407168e-01,5.758505e+00,2.385250e-04,1.170336e-05,2.799716e-04,9.6189e-03,0.01,9.38e-07,6.728e-03,0.654,0.6485,ok
geo,ts,,ntk,gelu,128,2,4,203.3739,2.400759e+00,1.180466e-02,2.730599e+01,1.650413e+00,2.543739e-01,2.378511e+00,7.980538e-05,1.230019e-05,1.150124e-04,9.6189e-03,0.01,9.80e-07,1.116e-02,0.654,0.657,ok
