mode,regime,act,width,seedA,seedB,dnorm,rq_t0.000,rq_t0.050,rq_t0.100,rq_t0.150,rq_t0.200,rq_t0.250,rq_t0.300,rq_t0.350,rq_t0.400,rq_t0.450,rq_t0.500,rq_t0.550,rq_t0.600,rq_t0.650,rq_t0.700,rq_t0.750,rq_t0.800,rq_t0.850,rq_t0.900,rq_t0.950,rq_t1.000,rq_min,rq_max,t_argmin,accA,accB,status
mlp,ntk,gelu,64,0,1,3.210681e+02,2.927431e-05,3.578994e-05,4.391798e-05,5.248916e-05,5.924851e-05,6.094804e-05,5.487937e-05,4.177563e-05,2.660421e-05,1.558420e-05,1.275027e-05,1.869965e-05,3.094179e-05,4.490446e-05,5.567196e-05,6.008690e-05,5.802628e-05,5.174424e-05,4.385910e-05,3.617633e-05,2.995427e-05,1.275027e-05,6.094804e-05,0.5000,0.9284,0.9323,ok
mlp,ntk,gelu,64,0,2,3.210594e+02,4.732076e-05,5.700009e-05,6.940147e-05,8.333003e-05,9.594937e-05,1.014888e-04,9.296438e-05,7.173481e-05,4.779814e-05,2.929815e-05,2.011757e-05,2.247828e-05,3.686878e-05,6.077126e-05,8.723023e-05,1.052905e-04,1.069307e-04,9.424053e-05,7.600652e-05,5.973586e-05,4.792400e-05,2.011757e-05,1.069307e-04,0.5000,0.9284,0.9248,ok
mlp,ntk,gelu,64,0,3,3.216203e+02,3.828634e-05,4.836591e-05,6.087664e-05,7.416860e-05,8.454461e-05,8.661557e-05,7.622554e-05,5.503115e-05,3.115304e-05,1.398778e-05,9.130729e-06,1.743546e-05,3.579568e-05,5.787129e-05,7.592481e-05,8.426602e-05,8.192340e-05,7.209982e-05,5.951101e-05,4.794387e-05,3.922356e-05,9.130729e-06,8.661557e-05,0.5000,0.9284,0.9281,ok
mlp,ntk,gelu,64,0,4,3.219838e+02,3.473485e-05,4.456773e-05,5.713996e-05,7.110519e-05,8.329724e-05,8.895375e-05,8.365487e-05,6.655774e-05,4.257717e-05,2.106518e-05,1.118462e-05,1.748112e-05,3.769496e-05,6.361944e-05,8.565354e-05,9.669435e-05,9.446084e-05,8.228207e-05,6.602040e-05,5.042635e-05,3.784017e-05,1.118462e-05,9.669435e-05,0.5000,0.9284,0.932,ok
mlp,ntk,gelu,64,1,2,3.213613e+02,3.796978e-05,4.649192e-05,5.666312e-05,6.604904e-05,7.050084e-05,6.680786e-05,5.559963e-05,4.074388e-05,2.676951e-05,1.720595e-05,1.383278e-05,1.700698e-05,2.598585e-05,3.864576e-05,5.135852e-05,6.012806e-05,6.269358e-05,5.957096e-05,5.307736e-05,4.585236e-05,3.992707e-05,1.383278e-05,7.050084e-05,0.5000,0.9323,0.9248,ok
mlp,ntk,gelu,64,1,3,3.215706e+02,4.756196e-05,6.087780e-05,8.023497e-05,1.039916e-04,1.250546e-04,1.316251e-04,1.156704e-04,8.246549e-05,4.671551e-05,2.193850e-05,1.502894e-05,2.566540e-05,4.810606e-05,7.469593e-05,9.891979e-05,1.157047e-04,1.200408e-04,1.096638e-04,8.985101e-05,6.959520e-05,5.410800e-05,1.502894e-05,1.316251e-04,0.5000,0.9323,0.9281,ok
mlp,ntk,gelu,64,1,4,3.218741e+02,3.543218e-05,4.799625e-05,6.555465e-05,8.630430e-05,1.045023e-04,1.113136e-04,1.011480e-04,7.729594e-05,4.889963e-05,2.539506e-05,1.370753e-05,1.734455e-05,3.579699e-05,6.440956e-05,9.475396e-05,1.159232e-04,1.195518e-04,1.069457e-04,8.689140e-05,6.733308e-05,5.262651e-05,1.370753e-05,1.195518e-04,0.5000,0.9323,0.932,ok
mlp,ntk,gelu,64,2,3,3.219756e+02,4.568541e-05,5.551152e-05,6.838940e-05,8.199534e-05,9.192889e-05,9.357733e-05,8.413908e-05,6.460640e-05,4.184934e-05,2.517199e-05,2.089214e-05,3.019374e-05,4.886955e-05,6.893468e-05,8.258209e-05,8.615621e-05,8.102675e-05,7.091648e-05,5.951557e-05,4.952092e-05,4.241039e-05,2.089214e-05,9.357733e-05,0.5000,0.9248,0.9281,ok
mlp,ntk,gelu,64,2,4,3.219274e+02,4.424375e-05,5.578356e-05,7.018814e-05,8.383983e-05,9.154943e-05,8.933210e-05,7.653326e-05,5.616484e-05,3.426642e-05,1.759381e-05,1.119607e-05,1.722263e-05,3.422282e-05,5.732098e-05,7.964511e-05,9.402197e-05,9.608675e-05,8.772842e-05,7.455130e-05,6.091186e-05,4.900563e-05,1.119607e-05,9.608675e-05,0.5000,0.9248,0.932,ok
mlp,ntk,gelu,64,3,4,3.221512e+02,3.906769e-05,4.732342e-05,5.793316e-05,6.874981e-05,7.630929e-05,7.697128e-05,6.870580e-05,5.274594e-05,3.361887e-05,1.760242e-05,1.042431e-05,1.512677e-05,3.071290e-05,5.203115e-05,7.140355e-05,8.195774e-05,8.104261e-05,7.111217e-05,5.744384e-05,4.459823e-05,3.459229e-05,1.042431e-05,8.195774e-05,0.5000,0.9281,0.932,ok
mlp,ntk,gelu,128,0,1,4.661834e+02,2.197692e-05,2.774298e-05,3.470169e-05,4.145608e-05,4.579956e-05,4.569325e-05,4.021081e-05,3.026437e-05,1.871540e-05,9.439579e-06,5.798225e-06,9.360700e-06,1.904318e-05,3.113396e-05,4.136937e-05,4.711212e-05,4.744434e-05,4.298226e-05,3.570693e-05,2.803815e-05,2.160681e-05,5.798225e-06,4.744434e-05,0.5000,0.9245,0.9259,ok
mlp,ntk,gelu,128,0,2,4.667124e+02,1.706387e-05,2.180320e-05,2.752899e-05,3.335102e-05,3.749387e-05,3.778757e-05,3.300694e-05,2.414666e-05,1.420656e-05,6.666125e-06,4.087063e-06,7.294666e-06,1.507163e-05,2.454955e-05,3.239040e-05,3.628947e-05,3.580520e-05,3.204371e-05,2.671312e-05,2.130744e-05,1.673190e-05,4.087063e-06,3.778757e-05,0.5000,0.9245,0.9255,ok
mlp,ntk,gelu,128,0,3,4.661041e+02,2.128509e-05,2.754758e-05,3.527905e-05,4.297755e-05,4.813702e-05,4.812101e-05,4.160693e-05,2.985257e-05,1.673505e-05,6.852276e-06,3.383677e-06,7.312268e-06,1.743744e-05,3.045336e-05,4.171889e-05,4.732609e-05,4.611180e-05,3.985020e-05,3.165343e-05,2.402360e-05,1.806763e-05,3.383677e-06,4.813702e-05,0.5000,0.9245,0.9256,ok
mlp,ntk,gelu,128,0,4,4.672134e+02,1.796700e-05,2.220755e-05,2.674832e-05,3.061495e-05,3.259235e-05,3.190107e-05,2.862292e-05,2.347635e-05,1.749107e-05,1.204907e-05,9.014652e-06,1.018460e-05,1.582755e-05,2.379094e-05,3.068381e-05,3.406107e-05,3.359895e-05,3.060464e-05,2.670574e-05,2.298382e-05,2.018767e-05,9.014652e-06,3.406107e-05,0.5000,0.9245,0.9246,ok
