mode,regime,act,width,n_pairs,rq_t0.000,rq_t0.050,rq_t0.100,rq_t0.150,rq_t0.200,rq_t0.250,rq_t0.300,rq_t0.350,rq_t0.400,rq_t0.450,rq_t0.500,rq_t0.550,rq_t0.600,rq_t0.650,rq_t0.700,rq_t0.750,rq_t0.800,rq_t0.850,rq_t0.900,rq_t0.950,rq_t1.000
mlp,mup,gelu,64,10,0.0001142198,0.00044173469999999996,0.0013434935,0.002537606,0.0031805385,0.0032108515,0.0034440729999999998,0.0032318085,0.0027255624999999997,0.0019375915,0.0015922185,0.0020296965,0.002786008,0.003211377,0.003755281,0.003630573,0.002931865,0.002339813,0.0015912295,0.00046553230000000005,0.00011782235
mlp,mup,gelu,128,10,1.958751e-05,5.426147e-05,0.0001691114,0.0004004783,0.000593125,0.0006180742,0.00053264135,0.0004159706,0.0003128483,0.00021511115,0.00017593345000000002,0.0002373563,0.0003071205,0.0004226135,0.00050009715,0.0005705223000000001,0.0005557327,0.00036197645,0.00016274805,5.5711155e-05,1.794008e-05
mlp,mup,gelu,256,10,5.21093e-06,1.3153945e-05,3.2487655e-05,7.060937500000001e-05,9.5521235e-05,0.0001102682,9.714934e-05,8.5096905e-05,5.6179645e-05,4.1230325e-05,2.979857e-05,3.9126615e-05,5.936216e-05,8.228579e-05,0.0001064268,0.000100944745,8.283284e-05,6.880243499999999e-05,3.1311755000000004e-05,1.12631265e-05,4.525978e-06
mlp,mup,gelu,512,10,1.3704755e-06,2.876605e-06,6.066003e-06,1.2273355e-05,2.143016e-05,2.7901935e-05,2.9100324999999998e-05,2.5819535e-05,1.6833445e-05,9.7514745e-06,6.2543055000000005e-06,6.857137e-06,1.2514395e-05,2.0533945e-05,2.8380235e-05,3.099173e-05,2.2530405e-05,1.360002e-05,7.0282795e-06,3.3360695e-06,1.6138445e-06
mlp,mup,gelu,1024,10,4.6250590000000003e-07,9.8167055e-07,1.9562445e-06,3.536184e-06,5.4566415e-06,6.7298389999999995e-06,6.712574e-06,5.3440215000000005e-06,2.986125e-06,1.5849755e-06,1.17075e-06,2.1416875e-06,3.80277e-06,4.9716485e-06,6.1995075e-06,6.930526e-06,5.7286805e-06,3.2208045e-06,1.697216e-06,9.23964e-07,4.8287815e-07
mlp,mup,gelu,2048,10,1.773921e-07,3.2215295e-07,5.583387999999999e-07,9.4204055e-07,1.386294e-06,1.714272e-06,1.845697e-06,1.6206970000000001e-06,1.00199855e-06,4.2961095e-07,2.692331e-07,3.9756765e-07,8.698381000000001e-07,1.4755745000000001e-06,1.8859115e-06,1.863268e-06,1.4691055e-06,9.2714455e-07,5.5509945e-07,3.3092684999999997e-07,1.847454e-07
mlp,mup,gelu,4096,10,7.8715225e-08,1.3951795e-07,2.3532119999999998e-07,3.7009024999999995e-07,5.210534e-07,6.4073215e-07,6.307964e-07,5.522019500000001e-07,3.7468465e-07,1.8228535e-07,1.0214921500000001e-07,1.944141e-07,4.033686e-07,6.428599e-07,6.698057000000001e-07,5.984240500000001e-07,4.8660795e-07,3.431108e-07,2.225067e-07,1.3692855e-07,7.97278e-08
mlp,mup,softplus,64,10,0.00016615275000000002,0.0005125761500000001,0.001338502,0.0019671705,0.0022884945,0.00234267,0.0020476025,0.001701663,0.0012955775,0.0009095374999999999,0.00068198445,0.00079710895,0.0011939215,0.001798954,0.0021173305,0.0023611335000000002,0.0025327459999999998,0.0022379410000000002,0.001426445,0.0005322007500000001,0.000155494
mlp,mup,softplus,128,10,2.6325475000000002e-05,7.0304955e-05,0.00019150070000000001,0.000371802,0.00048078405,0.00052534705,0.00043697695,0.0003128779,0.00019821145,0.00011286065,8.108026e-05,0.00011061635,0.0001968817,0.0003193389,0.00043509905,0.0004833379,0.0004992461,0.00041975685,0.00022387845,8.031681e-05,2.9203675e-05
mlp,mup,softplus,256,10,7.3168189999999994e-06,1.5189545e-05,3.2636005e-05,5.9016585e-05,8.709704e-05,9.118837000000001e-05,8.5459115e-05,6.809291000000001e-05,4.1694095e-05,2.23335e-05,1.29013e-05,1.9149409999999997e-05,3.797324e-05,6.148364e-05,8.129073e-05,9.157591e-05,8.240979e-05,6.2439675e-05,3.5290115e-05,1.750535e-05,8.149172e-06
