mode,regime,act,width,smooth,seed,nparams,lmax,pow_gap,trP,trP_sem,probes,acc,status
mlp,ntk,relu,4096,0,0,20037642,1.068222e-01,2.99e-04,4.145175e-08,3.047e-09,24,0.9166,ok
mlp,ntk,relu,4096,0,1,20037642,1.039463e-01,1.26e-03,4.128413e-08,3.664e-09,24,0.9164,ok
mlp,ntk,relu,4096,0,2,20037642,1.070513e-01,8.32e-04,4.452825e-08,3.312e-09,24,0.9184,ok
mlp,ntk,relu,4096,0,3,20037642,1.058569e-01,8.22e-04,4.505976e-08,2.995e-09,24,0.9168,ok
mlp,ntk,relu,4096,0,4,20037642,1.065135e-01,4.96e-04,4.195058e-08,2.712e-09,24,0.9171,ok
mlp,ntk,tanh,4096,1,0,20037642,9.087715e-02,2.61e-03,3.746622e-08,3.910e-09,24,0.9132,ok
mlp,ntk,tanh,4096,1,1,20037642,9.634305e-02,1.38e-03,3.851129e-08,2.767e-09,24,0.9147,ok
mlp,ntk,tanh,4096,1,2,20037642,9.493132e-02,1.31e-03,3.925733e-08,2.773e-09,24,0.9121,ok
mlp,ntk,tanh,4096,1,3,20037642,9.230748e-02,1.61e-03,3.441456e-08,2.717e-09,24,0.9126,ok
mlp,ntk,tanh,4096,1,4,20037642,9.462957e-02,4.94e-04,4.362560e-08,2.980e-09,24,0.9112,ok
mlp,ntk,softplus,4096,1,0,20037642,1.838078e-01,1.46e-03,5.613906e-08,4.472e-09,24,0.8897,ok
mlp,ntk,softplus,4096,1,1,20037642,1.886861e-01,7.64e-05,6.287863e-08,6.232e-09,24,0.8898,ok
mlp,ntk,softplus,4096,1,2,20037642,1.924347e-01,4.39e-04,6.344275e-08,6.686e-09,24,0.8879,ok
mlp,ntk,softplus,4096,1,3,20037642,1.906872e-01,2.17e-04,5.771247e-08,4.562e-09,24,0.889,ok
mlp,ntk,softplus,4096,1,4,20037642,1.865330e-01,2.98e-03,5.945150e-08,6.117e-09,24,0.8904,ok
mlp,sp,gelu,4096,1,0,20037642,3.820478e-02,5.83e-04,5.043037e-08,1.256e-09,24,0.9856,ok
mlp,sp,gelu,4096,1,1,20037642,5.191704e-02,1.36e-06,5.120962e-08,1.673e-09,24,0.9858,ok
mlp,sp,gelu,4096,1,2,20037642,4.576989e-02,8.50e-04,4.697313e-08,1.454e-09,24,0.9857,ok
mlp,sp,gelu,4096,1,3,20037642,3.863526e-02,4.00e-04,4.253070e-08,1.614e-09,24,0.985,ok
mlp,sp,gelu,4096,1,4,20037642,3.464209e-02,2.60e-05,4.657137e-08,1.599e-09,24,0.9863,ok
