mode,regime,act,width,smooth,n_pairs,nparams,dnorm_med,rq_A_med,rq_mid_med,rq_B_med,flen_mid_med,lmax_A_med,lmax_mid_med,lmax_B_med,trP_A_med,trP_mid_med,trP_B_med,align_A_med,align_mid_med,align_B_med,spec_mid_med,ov1_mid_med,top1_mid_med,pow_gap_mid_med,rq_tmax_med,rq_tmin_med,t_at_rqmax_med,align_mid_rat,spec_mid_rat,alpha_rq,alpha_rq_r2,alpha_flen,alpha_flen_r2,alpha_dnorm,alpha_dnorm_r2,alpha_trP,alpha_trP_r2,alpha_lmax,alpha_lmax_r2,alpha_align,alpha_align_r2,alpha_spec,alpha_spec_r2,resid_flen,resid_rq
mlp,mup,relu,64,0,10,55050,28.073156,0.00013573075000000002,0.001436723,0.000162426,0.56743465,0.1382405,3.3250605,0.1801076,4.418956e-05,0.0010807075,4.7489e-05,3.1354435,1.405454,3.3489775,0.0004673389,5.876339e-06,0.011469799999999999,5.11e-06,0.002997527,0.00012898065,0.25,1.3294281755239046,0.00043208928078150756,2.3484,0.9931,1.4363,0.9744,-0.4567,0.9982,2.2913,0.998,0.4664,0.7975,0.0571,0.227,1.882,0.9957,0.0013,0.0
mlp,mup,relu,128,0,10,118282,37.320283,2.0698579999999997e-05,0.00021973975,2.3708645000000002e-05,0.15339835000000002,0.05196162,1.3012505,0.045278,5.366718e-06,0.0001683086,6.32257e-06,3.9033545,1.3086155000000002,4.068637,0.0001665262,4.49052e-06,0.02518428,1.793e-05,0.00068805335,1.998409e-05,0.5,1.305576482722808,0.0001688681387634433,2.3484,0.9931,1.4363,0.9744,-0.4567,0.9982,2.2913,0.998,0.4664,0.7975,0.0571,0.227,1.882,0.9957,0.0013,0.0
mlp,mup,relu,256,0,10,269322,49.649728499999995,5.337124e-06,2.994598e-05,5.191146500000001e-06,0.03664191,0.023455715000000002,0.66845135,0.0261474,1.103917e-06,3.159017e-05,1.085167e-06,4.9206330000000005,0.96930355,4.783728,4.4219145e-05,7.2199405e-07,0.017137035,1.59e-06,0.00013536875,4.8799975000000005e-06,0.5,0.9479524801544278,4.4799041845004874e-05,2.3484,0.9931,1.4363,0.9744,-0.4567,0.9982,2.2913,0.998,0.4664,0.7975,0.0571,0.227,1.882,0.9957,0.0013,0.0
mlp,mup,relu,512,0,10,669706,67.6852355,1.678839e-06,5.6827185e-06,1.6382229999999998e-06,0.013017425,0.02002906,0.5253296000000001,0.02909579,3.482499e-07,6.2579910000000004e-06,3.576098e-07,5.1255375,0.926674,5.320129,1.0249519999999999e-05,7.213065000000001e-07,0.06262381,1.4175e-07,2.8837945e-05,1.580678e-06,0.25,0.9080739329922333,1.0817434425929928e-05,2.3484,0.9931,1.4363,0.9744,-0.4567,0.9982,2.2913,0.998,0.4664,0.7975,0.0571,0.227,1.882,0.9957,0.0013,0.0
mlp,mup,relu,1024,0,10,1863690,93.76265649999999,5.810095e-07,1.2217865e-06,6.5468715e-07,0.0054059,0.019495110000000003,0.4413287,0.02050259,1.064517e-07,1.3392245000000002e-06,1.065761e-07,6.183961,0.91446015,6.1270880000000005,2.796754e-06,1.7276705e-07,0.045462155000000004,1.215e-07,6.448676e-06,5.6322635e-07,0.75,0.9123089519344963,2.7684274782038876e-06,2.3484,0.9931,1.4363,0.9744,-0.4567,0.9982,2.2913,0.998,0.4664,0.7975,0.0571,0.227,1.882,0.9957,0.0013,0.0
mlp,mup,relu,2048,0,10,5824522,132.2955805,2.1915355000000001e-07,2.8618124999999997e-07,1.810239e-07,0.0024951375000000003,0.01823036,0.49700315000000006,0.0178902,2.564381e-08,3.1740304999999997e-07,2.5561015e-08,8.5978645,0.96306245,7.2689155,6.2080985e-07,2.140385e-08,0.033805315,8e-08,1.840577e-06,1.8094939999999998e-07,0.25,0.9016335854365608,5.758137549027605e-07,2.3484,0.9931,1.4363,0.9744,-0.4567,0.9982,2.2913,0.998,0.4664,0.7975,0.0571,0.227,1.882,0.9957,0.0013,0.0
mlp,mup,relu,4096,0,10,20037642,187.5351405,8.2123595e-08,8.828404000000001e-08,7.768486500000001e-08,0.0015412935,0.01894704,0.3549462,0.02354907,8.209452e-09,7.4122415e-08,8.7326545e-09,9.527131,1.1828105,8.7642985,2.5244795e-07,7.0439565e-09,0.038877919999999996,5.4e-08,4.4061165e-07,7.141967000000001e-08,0.75,1.1910572530590107,2.487251307381232e-07,2.3484,0.9931,1.4363,0.9744,-0.4567,0.9982,2.2913,0.998,0.4664,0.7975,0.0571,0.227,1.882,0.9957,0.0013,0.0
mlp,mup,softplus,64,1,10,55050,27.207531,0.00016615264999999998,0.00068198475,0.0001554943,0.25410115,0.18275575,3.1195075,0.1994547,4.7297405e-05,0.00096059935,4.546797e-05,3.4189195000000003,0.7427861,3.3467434999999996,0.00020198115,2.2188354e-06,0.0073650565,3.03e-07,0.0023719780000000003,0.00014609410000000002,0.75,0.7099575384888611,0.00021861936539662108,2.2233,0.99,1.324,0.9617,-0.4497,0.9979,2.2684,0.9983,0.4794,0.8364,-0.0451,0.1051,1.7439,0.997,0.0001,0.0
mlp,mup,softplus,128,1,10,118282,35.334738,2.6325595e-05,8.108028e-05,2.920392e-05,0.05015277,0.070929065,1.1140915,0.06506839,6.654119e-06,0.00015671769999999998,6.763764e-06,4.142292,0.53248195,4.378095999999999,7.340763e-05,4.2176480000000003e-07,0.0085406135,0.00010229999999999999,0.0005378437,2.4967545e-05,0.5,0.5173651731744404,7.277703851075068e-05,2.2233,0.99,1.324,0.9617,-0.4497,0.9979,2.2684,0.9983,0.4794,0.8364,-0.0451,0.1051,1.7439,0.997,0.0001,0.0
mlp,mup,softplus,256,1,10,269322,47.225350500000005,7.316787e-06,1.29013e-05,8.1491975e-06,0.01446646,0.03490797,0.6785950999999999,0.03368465,1.575031e-06,2.755631e-05,1.571101e-06,5.0553805,0.47136880000000003,5.6429100000000005,2.0280305e-05,3.7925275e-07,0.022167485,2.451e-05,9.475957500000001e-05,6.9373285e-06,0.5,0.4681795204074856,1.901177889436573e-05,2.2233,0.99,1.324,0.9617,-0.4497,0.9979,2.2684,0.9983,0.4794,0.8364,-0.0451,0.1051,1.7439,0.997,0.0001,0.0
