kind,mode,regime,act,width,smooth,seedA,seedB,nparams,dnorm,rq_A,rq_mid,rq_B,flen_A,flen_mid,flen_B,lmax_A,lmax_mid,lmax_B,trP_A,trP_mid,trP_B,trP_sem_A,trP_sem_mid,trP_sem_B,align_A,align_mid,align_B,spec_A,spec_mid,spec_B,ov1_A,ov1_mid,ov1_B,top1_A,top1_mid,top1_B,pow_gap_mid,rq_tmax,t_at_rqmax,rq_tmin,batch,micro,probes,power_iters,accA,accB,status
rq,mlp,ntk,relu,4096,0,0,1,20037642,6126.052236,1.784332e-07,1.056605e-08,1.824825e-07,3.348167e+00,1.982641e-01,3.424149e+00,1.068222e-01,2.903094e-01,1.039463e-01,4.145175e-08,9.127763e-08,4.128413e-08,3.047e-09,8.044e-09,3.664e-09,4.304600e+00,1.157573e-01,4.420161e+00,1.670376e-06,3.639582e-08,1.755546e-06,4.042459e-08,1.989971e-09,5.139896e-09,2.420089e-02,5.467582e-02,2.927805e-03,0.00e+00,4.875791e-07,0.7500,1.056605e-08,2048,2048,24,24,0.9166,0.9164,ok:nonsmooth
rq,mlp,ntk,relu,4096,0,0,2,20037642,6130.27634,1.620280e-07,9.357650e-09,1.788018e-07,3.044530e+00,1.758316e-01,3.359712e+00,1.068222e-01,2.854998e-01,1.070513e-01,4.145175e-08,8.408116e-08,4.452825e-08,3.047e-09,8.505e-09,3.312e-09,3.908834e+00,1.112931e-01,4.015469e+00,1.516802e-06,3.277638e-08,1.670244e-06,1.013149e-08,2.647343e-09,1.473239e-08,6.679507e-03,8.076986e-02,8.820500e-03,2.09e-07,4.547747e-07,0.7500,9.357650e-09,2048,2048,24,24,0.9166,0.9184,ok:nonsmooth
rq,mlp,ntk,relu,4096,0,0,3,20037642,6127.110575,1.856337e-07,9.499424e-09,1.982703e-07,3.484482e+00,1.783112e-01,3.721681e+00,1.068222e-01,3.341758e-01,1.058569e-01,4.145175e-08,7.489019e-08,4.505976e-08,3.047e-09,5.729e-09,2.995e-09,4.478308e+00,1.268447e-01,4.400164e+00,1.737783e-06,2.842643e-08,1.873004e-06,5.260602e-09,3.696097e-11,5.165684e-08,3.027192e-03,1.300233e-03,2.757967e-02,1.78e-07,5.352153e-07,0.7500,9.499424e-09,2048,2048,24,24,0.9166,0.9168,ok:nonsmooth
rq,mlp,ntk,relu,4096,0,0,4,20037642,6128.856337,1.727944e-07,1.078028e-08,1.837011e-07,3.245328e+00,2.024691e-01,3.450171e+00,1.068222e-01,2.650526e-01,1.065135e-01,4.145175e-08,7.410303e-08,4.195058e-08,3.047e-09,6.384e-09,2.712e-09,4.168567e+00,1.454769e-01,4.378987e+00,1.617589e-06,4.067222e-08,1.724673e-06,6.146657e-08,1.935363e-09,7.433677e-09,3.799887e-02,4.758440e-02,4.310194e-03,0.00e+00,4.810757e-07,0.7500,1.078028e-08,2048,2048,24,24,0.9166,0.9171,ok:nonsmooth
rq,mlp,ntk,relu,4096,0,1,2,20037642,6131.734176,1.984716e-07,1.159217e-08,1.896146e-07,3.731084e+00,2.179221e-01,3.564581e+00,1.039463e-01,3.166159e-01,1.070513e-01,4.128413e-08,7.745856e-08,4.452825e-08,3.664e-09,6.567e-09,3.312e-09,4.807455e+00,1.496564e-01,4.258300e+00,1.909366e-06,3.661272e-08,1.771250e-06,7.580311e-09,3.081165e-14,5.359692e-08,3.970066e-03,8.415559e-07,3.025938e-02,0.00e+00,5.215020e-07,0.7500,1.159217e-08,2048,2048,24,24,0.9164,0.9184,ok:nonsmooth
rq,mlp,ntk,relu,4096,0,1,3,20037642,6126.894483,1.830381e-07,1.105853e-08,1.731183e-07,3.435519e+00,2.075623e-01,3.249331e+00,1.039463e-01,2.754107e-01,1.058569e-01,4.128413e-08,5.550904e-08,4.505976e-08,3.664e-09,4.376e-09,2.995e-09,4.433619e+00,1.992204e-01,3.841972e+00,1.760891e-06,4.015288e-08,1.635400e-06,5.810361e-08,7.841342e-12,3.215533e-08,3.299671e-02,1.952871e-04,1.966205e-02,1.08e-07,4.641262e-07,0.2500,1.105853e-08,2048,2048,24,24,0.9164,0.9168,ok:nonsmooth
rq,mlp,ntk,relu,4096,0,1,4,20037642,6128.10509,1.780021e-07,9.342750e-09,1.736782e-07,3.342317e+00,1.754273e-01,3.261128e+00,1.039463e-01,2.406347e-01,1.065135e-01,4.128413e-08,8.298585e-08,4.195058e-08,3.664e-09,6.661e-09,2.712e-09,4.311636e+00,1.125825e-01,4.140067e+00,1.712443e-06,3.882545e-08,1.630574e-06,1.008724e-09,3.559363e-09,6.019329e-10,5.890557e-04,9.167600e-02,3.691540e-04,2.69e-05,4.818588e-07,0.7500,9.342750e-09,2048,2048,24,24,0.9164,0.9171,ok:nonsmooth
rq,mlp,ntk,relu,4096,0,2,3,20037642,6126.395025,1.909177e-07,1.015266e-08,1.815159e-07,3.582830e+00,1.905285e-01,3.406392e+00,1.070513e-01,2.826810e-01,1.058569e-01,4.452825e-08,7.978943e-08,4.505976e-08,3.312e-09,5.726e-09,2.995e-09,4.287564e+00,1.272432e-01,4.028337e+00,1.783422e-06,3.591563e-08,1.714730e-06,5.234534e-09,3.775053e-10,4.345805e-08,2.935106e-03,1.051089e-02,2.534396e-02,1.05e-07,5.000327e-07,0.7500,1.015266e-08,2048,2048,24,24,0.9184,0.9168,ok:nonsmooth
rq,mlp,ntk,relu,4096,0,2,4,20037642,6127.904373,1.844108e-07,9.652276e-09,1.844202e-07,3.462425e+00,1.812273e-01,3.462601e+00,1.070513e-01,2.896669e-01,1.065135e-01,4.452825e-08,7.874412e-08,4.195058e-08,3.312e-09,4.971e-09,2.712e-09,4.141434e+00,1.225777e-01,4.396129e+00,1.722639e-06,3.332198e-08,1.731425e-06,3.449420e-09,3.388545e-12,3.885155e-08,2.002404e-03,1.016910e-04,2.243906e-02,0.00e+00,4.958788e-07,0.2500,9.652276e-09,2048,2048,24,24,0.9184,0.9171,ok:nonsmooth
rq,mlp,ntk,relu,4096,0,3,4,20037642,6128.493126,1.833447e-07,9.829927e-09,1.818756e-07,3.443070e+00,1.845983e-01,3.415480e+00,1.058569e-01,2.701858e-01,1.065135e-01,4.505976e-08,8.197254e-08,4.195058e-08,2.995e-09,8.265e-09,2.712e-09,4.068924e+00,1.199173e-01,4.335472e+00,1.732006e-06,3.638210e-08,1.707535e-06,2.563574e-08,1.871144e-09,1.786711e-08,1.480118e-02,5.143033e-02,1.046369e-02,3.64e-06,4.906398e-07,0.2500,9.829927e-09,2048,2048,24,24,0.9168,0.9171,ok:nonsmooth
rq,mlp,ntk,tanh,4096,1,0,1,20037642,6126.07966,1.067888e-07,5.935391e-09,1.107241e-07,2.003830e+00,1.113742e-01,2.077675e+00,9.087715e-02,2.187014e-01,9.634305e-02,3.746622e-08,7.794273e-08,3.851129e-08,3.910e-09,8.631e-09,2.767e-09,2.850268e+00,7.615067e-02,2.875109e+00,1.175089e-06,2.713925e-08,1.149270e-06,1.776343e-12,3.527334e-10,7.253369e-09,1.511667e-06,1.299717e-02,6.311286e-03,7.52e-04,3.073235e-07,0.2500,5.935391e-09,2048,2048,24,24,0.9132,0.9147,ok
rq,mlp,ntk,tanh,4096,1,0,2,20037642,6130.722307,1.094861e-07,5.700741e-09,1.014299e-07,2.057559e+00,1.071333e-01,1.906159e+00,9.087715e-02,2.153816e-01,9.493132e-02,3.746622e-08,7.723897e-08,3.925733e-08,3.910e-09,8.751e-09,2.773e-09,2.922262e+00,7.380654e-02,2.583718e+00,1.204770e-06,2.646810e-08,1.068455e-06,5.422892e-09,1.136977e-10,2.955313e-09,4.501183e-03,4.295649e-03,2.765968e-03,7.96e-04,2.996411e-07,0.2500,5.700741e-09,2048,2048,24,24,0.9132,0.9121,ok
rq,mlp,ntk,tanh,4096,1,0,3,20037642,6128.309718,1.176074e-07,6.508111e-09,1.102462e-07,2.208443e+00,1.222099e-01,2.070212e+00,9.087715e-02,2.489687e-01,9.230748e-02,3.746622e-08,7.279933e-08,3.441456e-08,3.910e-09,5.008e-09,2.717e-09,3.139026e+00,8.939795e-02,3.203474e+00,1.294137e-06,2.614028e-08,1.194336e-06,6.074277e-09,9.610365e-10,1.866427e-09,4.693691e-03,3.676459e-02,1.562732e-03,2.68e-05,3.307365e-07,0.2500,6.508111e-09,2048,2048,24,24,0.9132,0.9126,ok
rq,mlp,ntk,tanh,4096,1,0,4,20037642,6130.195429,1.066450e-07,5.759104e-09,1.102551e-07,2.003822e+00,1.082115e-01,2.071655e+00,9.087715e-02,2.602951e-01,9.462957e-02,3.746622e-08,8.133927e-08,4.362560e-08,3.910e-09,7.767e-09,2.980e-09,2.846431e+00,7.080349e-02,2.527304e+00,1.173507e-06,2.212529e-08,1.165123e-06,3.439936e-09,5.048215e-10,8.217490e-09,2.931329e-03,2.281650e-02,7.052892e-03,6.87e-07,3.135626e-07,0.2500,5.759104e-09,2048,2048,24,24,0.9132,0.9112,ok
rq,mlp,ntk,tanh,4096,1,1,2,20037642,6130.93435,1.048936e-07,5.213987e-09,1.121584e-07,1.971390e+00,9.799260e-02,2.107926e+00,9.634305e-02,2.130196e-01,9.493132e-02,3.851129e-08,6.808277e-08,3.925733e-08,2.767e-09,5.487e-09,2.773e-09,2.723711e+00,7.658307e-02,2.857006e+00,1.088751e-06,2.447656e-08,1.181469e-06,3.208372e-09,1.321183e-10,8.106623e-10,2.946836e-03,5.397747e-03,6.861476e-04,1.70e-04,3.089427e-07,0.2500,5.213987e-09,2048,2048,24,24,0.9147,0.9121,ok
rq,mlp,ntk,tanh,4096,1,1,3,20037642,6126.302311,1.130723e-07,6.173196e-09,1.135172e-07,2.121890e+00,1.158449e-01,2.130241e+00,9.634305e-02,2.269674e-01,9.230748e-02,3.851129e-08,6.500350e-08,3.441456e-08,2.767e-09,5.033e-09,2.717e-09,2.936081e+00,9.496713e-02,3.298524e+00,1.173642e-06,2.719860e-08,1.229773e-06,9.651561e-09,1.797538e-09,9.959775e-09,8.223598e-03,6.608935e-02,8.098873e-03,2.69e-06,3.168173e-07,0.2500,6.173196e-09,2048,2048,24,24,0.9147,0.9126,ok
rq,mlp,ntk,tanh,4096,1,1,4,20037642,6126.792962,1.017962e-07,5.670418e-09,1.102138e-07,1.910593e+00,1.064269e-01,2.068579e+00,9.634305e-02,2.072662e-01,9.462957e-02,3.851129e-08,8.078522e-08,4.362560e-08,2.767e-09,5.808e-09,2.980e-09,2.643283e+00,7.019129e-02,2.526355e+00,1.056602e-06,2.735815e-08,1.164686e-06,3.096949e-10,5.871625e-10,1.674018e-09,2.931047e-04,2.146207e-02,1.437312e-03,4.19e-03,2.933024e-07,0.2500,5.670418e-09,2048,2048,24,24,0.9147,0.9112,ok
rq,mlp,ntk,tanh,4096,1,2,3,20037642,6127.21209,1.075905e-07,5.639000e-09,1.104065e-07,2.019620e+00,1.058517e-01,2.072481e+00,9.493132e-02,2.656355e-01,9.230748e-02,3.925733e-08,7.699254e-08,3.441456e-08,2.773e-09,6.254e-09,2.717e-09,2.740646e+00,7.324086e-02,3.208134e+00,1.133351e-06,2.122834e-08,1.196074e-06,7.608296e-09,2.103914e-10,4.116636e-08,6.713101e-03,9.910877e-03,3.441791e-02,0.00e+00,3.134985e-07,0.7500,5.639000e-09,2048,2048,24,24,0.9121,0.9126,ok
rq,mlp,ntk,tanh,4096,1,2,4,20037642,6127.360933,1.099098e-07,5.977075e-09,1.174663e-07,2.063257e+00,1.122033e-01,2.205109e+00,9.493132e-02,2.766976e-01,9.462957e-02,3.925733e-08,7.765758e-08,4.362560e-08,2.773e-09,7.214e-09,2.980e-09,2.799727e+00,7.696704e-02,2.692600e+00,1.157782e-06,2.160147e-08,1.241327e-06,6.329248e-09,1.256019e-09,2.984497e-08,5.466700e-03,5.814506e-02,2.404279e-02,2.15e-07,3.343553e-07,0.7500,5.977075e-09,2048,2048,24,24,0.9121,0.9112,ok
rq,mlp,ntk,tanh,4096,1,3,4,20037642,6127.745426,1.026046e-07,6.589800e-09,1.117310e-07,1.926365e+00,1.237211e-01,2.097709e+00,9.230748e-02,2.150202e-01,9.462957e-02,3.441456e-08,8.178573e-08,4.362560e-08,2.717e-09,6.712e-09,2.980e-09,2.981431e+00,8.057396e-02,2.561134e+00,1.111553e-06,3.064736e-08,1.180720e-06,5.511649e-10,3.751867e-10,1.048344e-08,4.958512e-04,1.224206e-02,8.878855e-03,2.66e-04,3.035167e-07,0.2500,6.589800e-09,2048,2048,24,24,0.9126,0.9112,ok
rq,mlp,ntk,softplus,4096,1,0,1,20037642,6126.861513,2.717949e-07,2.677694e-09,2.564974e-07,5.101378e+00,5.025822e-02,4.814254e+00,1.838078e-01,3.410687e-01,1.886861e-01,5.613906e-08,1.181720e-07,6.287863e-08,4.472e-09,1.151e-08,6.232e-09,4.841459e+00,2.265929e-02,4.079245e+00,1.478691e-06,7.850894e-09,1.359387e-06,3.686411e-10,1.843036e-10,1.070391e-09,2.493024e-04,2.347549e-02,7.874070e-04,1.31e-06,4.115849e-07,0.1250,2.677694e-09,2048,2048,24,24,0.8897,0.8898,ok
rq,mlp,ntk,softplus,4096,1,0,2,20037642,6131.623602,2.639831e-07,3.564991e-09,2.791363e-07,4.962461e+00,6.701613e-02,5.247317e+00,1.838078e-01,3.556301e-01,1.924347e-01,5.613906e-08,9.693036e-08,6.344275e-08,4.472e-09,9.531e-09,6.686e-09,4.702307e+00,3.677888e-02,4.399814e+00,1.436190e-06,1.002444e-08,1.450551e-06,1.681412e-09,1.236711e-09,2.708836e-08,1.170744e-03,1.233696e-01,1.867454e-02,2.02e-04,4.142817e-07,0.8750,3.564991e-09,2048,2048,24,24,0.8897,0.8879,ok
