mode,regime,act,width,smooth,seedA,seedB,t,rq_t,flen_t,dnorm,status
mlp,ntk,relu,4096,0,0,1,0.000000,1.784332e-07,3.348167e+00,6126.052236,ok
mlp,ntk,relu,4096,0,0,1,0.125000,3.753665e-07,7.043474e+00,6126.052236,ok
mlp,ntk,relu,4096,0,0,1,0.250000,4.838432e-07,9.078959e+00,6126.052236,ok
mlp,ntk,relu,4096,0,0,1,0.375000,2.110549e-07,3.960288e+00,6126.052236,ok
mlp,ntk,relu,4096,0,0,1,0.500000,1.056605e-08,1.982641e-01,6126.052236,ok
mlp,ntk,relu,4096,0,0,1,0.625000,1.983494e-07,3.721880e+00,6126.052236,ok
mlp,ntk,relu,4096,0,0,1,0.750000,4.875791e-07,9.149060e+00,6126.052236,ok
mlp,ntk,relu,4096,0,0,1,0.875000,3.912706e-07,7.341903e+00,6126.052236,ok
mlp,ntk,relu,4096,0,0,1,1.000000,1.824825e-07,3.424149e+00,6126.052236,ok
mlp,ntk,relu,4096,0,0,2,0.000000,1.620280e-07,3.044530e+00,6130.27634,ok
mlp,ntk,relu,4096,0,0,2,0.125000,3.379381e-07,6.349905e+00,6130.27634,ok
mlp,ntk,relu,4096,0,0,2,0.250000,4.465779e-07,8.391263e+00,6130.27634,ok
mlp,ntk,relu,4096,0,0,2,0.375000,2.011630e-07,3.779882e+00,6130.27634,ok
mlp,ntk,relu,4096,0,0,2,0.500000,9.357650e-09,1.758316e-01,6130.27634,ok
mlp,ntk,relu,4096,0,0,2,0.625000,1.909359e-07,3.587713e+00,6130.27634,ok
mlp,ntk,relu,4096,0,0,2,0.750000,4.547747e-07,8.545281e+00,6130.27634,ok
mlp,ntk,relu,4096,0,0,2,0.875000,3.594800e-07,6.754681e+00,6130.27634,ok
mlp,ntk,relu,4096,0,0,2,1.000000,1.788018e-07,3.359712e+00,6130.27634,ok
mlp,ntk,relu,4096,0,0,3,0.000000,1.856337e-07,3.484482e+00,6127.110575,ok
mlp,ntk,relu,4096,0,0,3,0.125000,4.059649e-07,7.620263e+00,6127.110575,ok
mlp,ntk,relu,4096,0,0,3,0.250000,5.259315e-07,9.872124e+00,6127.110575,ok
mlp,ntk,relu,4096,0,0,3,0.375000,2.167756e-07,4.069038e+00,6127.110575,ok
mlp,ntk,relu,4096,0,0,3,0.500000,9.499424e-09,1.783112e-01,6127.110575,ok
mlp,ntk,relu,4096,0,0,3,0.625000,2.027097e-07,3.805012e+00,6127.110575,ok
mlp,ntk,relu,4096,0,0,3,0.750000,5.352153e-07,1.004639e+01,6127.110575,ok
mlp,ntk,relu,4096,0,0,3,0.875000,4.354102e-07,8.172972e+00,6127.110575,ok
mlp,ntk,relu,4096,0,0,3,1.000000,1.982703e-07,3.721681e+00,6127.110575,ok
mlp,ntk,relu,4096,0,0,4,0.000000,1.727944e-07,3.245328e+00,6128.856337,ok
mlp,ntk,relu,4096,0,0,4,0.125000,3.549944e-07,6.667305e+00,6128.856337,ok
mlp,ntk,relu,4096,0,0,4,0.250000,4.696233e-07,8.820201e+00,6128.856337,ok
mlp,ntk,relu,4096,0,0,4,0.375000,2.170612e-07,4.076722e+00,6128.856337,ok
mlp,ntk,relu,4096,0,0,4,0.500000,1.078028e-08,2.024691e-01,6128.856337,ok
mlp,ntk,relu,4096,0,0,4,0.625000,1.915532e-07,3.597645e+00,6128.856337,ok
mlp,ntk,relu,4096,0,0,4,0.750000,4.810757e-07,9.035294e+00,6128.856337,ok
mlp,ntk,relu,4096,0,0,4,0.875000,3.936002e-07,7.392379e+00,6128.856337,ok
mlp,ntk,relu,4096,0,0,4,1.000000,1.837011e-07,3.450171e+00,6128.856337,ok
mlp,ntk,relu,4096,0,1,2,0.000000,1.984716e-07,3.731084e+00,6131.734176,ok
mlp,ntk,relu,4096,0,1,2,0.125000,4.318093e-07,8.117618e+00,6131.734176,ok
mlp,ntk,relu,4096,0,1,2,0.250000,5.155305e-07,9.691501e+00,6131.734176,ok
mlp,ntk,relu,4096,0,1,2,0.375000,1.978174e-07,3.718786e+00,6131.734176,ok
