arch,regime,act,width,width_paper,smooth,n_pairs,rq_mid_med,rq_mid_q1,rq_mid_q3,trP_mid_med,trP_sem_mid_med,lmax_mid_med,lmax_A_med,dnorm_med,flen_mid_med,align_mid_med,align_mid_rat,spec_mid_rat,top1_mid_med,dip_depth,t_at_peak,n_profile_t,barrier,alpha_rq,alpha_rq_r2,alpha_trP,alpha_trP_r2,alpha_align,alpha_align_r2,alpha_dnorm,alpha_dnorm_r2,alpha_flen,alpha_flen_r2,alpha_lmax,alpha_lmax_r2,alpha_B,alpha_B_r2,alpha_dip,alpha_dip_r2,n_widths,resid_rq
cnn,mup,gelu,1,64,1,10,0.00698533,0.006256853,0.01323645,nan,nan,nan,15.0215,74.2568,19.24399127535615,nan,nan,nan,nan,,,0,2.39615,2.1825,0.9982,nan,nan,nan,nan,-0.2715,0.9985,1.645,0.9966,nan,nan,1.1603,0.9589,nan,nan,4,
cnn,mup,gelu,2,128,1,10,0.001297566,0.001137473,0.001726016,nan,nan,nan,3.0145999999999997,90.14005,5.258070873473572,nan,nan,nan,nan,,,0,0.68245,2.1825,0.9982,nan,nan,nan,nan,-0.2715,0.9985,1.645,0.9966,nan,nan,1.1603,0.9589,nan,nan,4,
cnn,mup,gelu,4,256,1,10,0.00029907800000000004,0.0002791863,0.000393156,nan,nan,nan,1.3448,106.71785,1.706057267054008,nan,nan,nan,nan,,,0,0.35185,2.1825,0.9982,nan,nan,nan,nan,-0.2715,0.9985,1.645,0.9966,nan,nan,1.1603,0.9589,nan,nan,4,
cnn,mup,gelu,8,512,1,10,7.3554355e-05,6.468873e-05,8.237883e-05,nan,nan,nan,0.9737899999999999,131.442,0.6260065645756333,nan,nan,nan,nan,,,0,0.2047,2.1825,0.9982,nan,nan,nan,nan,-0.2715,0.9985,1.645,0.9966,nan,nan,1.1603,0.9589,nan,nan,4,
cnn,mup,softplus,1,64,1,10,0.002265716,0.001157887,0.003623237,nan,nan,nan,22.971,71.54509999999999,5.8039408005891655,nan,nan,nan,nan,,,0,1.0243,1.6679,0.9952,nan,nan,nan,nan,-0.3513,0.9998,0.9661,0.9864,nan,nan,0.6473,0.9663,nan,nan,4,
cnn,mup,softplus,2,128,1,10,0.00062924275,0.0005699813,0.0007139394,nan,nan,nan,11.795,91.20945,2.5985023066586526,nan,nan,nan,nan,,,0,0.51945,1.6679,0.9952,nan,nan,nan,nan,-0.3513,0.9998,0.9661,0.9864,nan,nan,0.6473,0.9663,nan,nan,4,
cnn,mup,softplus,4,256,1,10,0.00018469225,0.0001737535,0.0001999542,nan,nan,nan,7.4372,117.28115,1.2588341390597149,nan,nan,nan,nan,,,0,0.35885,1.6679,0.9952,nan,nan,nan,nan,-0.3513,0.9998,0.9661,0.9864,nan,nan,0.6473,0.9663,nan,nan,4,
cnn,mup,softplus,8,512,1,10,7.2276345e-05,5.359348e-05,8.431257e-05,nan,nan,nan,5.0851,148.1336,0.7929212359542126,nan,nan,nan,nan,,,0,0.2597,1.6679,0.9952,nan,nan,nan,nan,-0.3513,0.9998,0.9661,0.9864,nan,nan,0.6473,0.9663,nan,nan,4,
cnn,mup,swish,1,64,1,10,0.006984742,0.006110307,0.007739844,nan,nan,nan,14.741000000000001,74.36945,19.441849379264696,nan,nan,nan,nan,,,0,2.0171,2.1625,0.9971,nan,nan,nan,nan,-0.2853,0.9992,1.5949,0.9927,nan,nan,1.0938,0.9954,nan,nan,4,
cnn,mup,swish,2,128,1,10,0.0017054975,0.001361407,0.002246762,nan,nan,nan,2.8240999999999996,90.97495,7.056335248493591,nan,nan,nan,nan,,,0,0.88385,2.1625,0.9971,nan,nan,nan,nan,-0.2853,0.9992,1.5949,0.9927,nan,nan,1.0938,0.9954,nan,nan,4,
cnn,mup,swish,4,256,1,10,0.0003031732,0.0002732425,0.0003539365,nan,nan,nan,1.2568000000000001,109.25125,1.7972991349845855,nan,nan,nan,nan,,,0,0.39055,2.1625,0.9971,nan,nan,nan,nan,-0.2853,0.9992,1.5949,0.9927,nan,nan,1.0938,0.9954,nan,nan,4,
