arch,regime,act,width,width_paper,smooth,seedA,seedB,dnorm,rq_A,rq_mid,rq_B,flen_A,flen_mid,flen_B,lmax_A,lmax_mid,lmax_B,trP_A,trP_mid,trP_B,trP_sem_A,trP_sem_mid,trP_sem_B,align_A,align_mid,align_B,spec_A,spec_mid,spec_B,ov1_mid,top1_mid,src_rq,src_lmax,src_trP,status
cnn,mup,gelu,1,64,1,0,1,73.1273,0.001231608,0.0031159,0.001205195,3.2930747052656035,8.331296544141557,3.2224515993827416,16.659,,,,,,,,,,,,7.393048802449127e-05,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,1,64,1,0,2,74.1777,0.002006371,0.007567164,0.001595766,5.519858853255258,20.818521200433256,4.3902165067296774,16.659,,,,,,,,,,,,0.00012043766132420914,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,1,64,1,0,3,74.5426,0.00122092,0.01094841,0.0015282,3.3920815566423888,30.417963204435264,4.245797459998115,16.659,,,,,,,,,,,,7.328891289993397e-05,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,1,64,1,0,4,74.6721,0.002410055,0.01323645,0.001319969,6.719139972553306,36.90270980940402,3.6800224353515647,16.659,,,,,,,,,,,,0.00014466984813013987,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,1,64,1,1,2,74.2257,0.001051388,0.006265933,0.001609462,2.896287195208351,17.260936508628067,4.433628861823059,13.383999999999999,,,,,,,,,,,,7.855558876270176e-05,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,1,64,1,1,3,74.2879,0.001417868,0.006403496,0.002231269,3.912388455586987,17.669461350279043,6.156843286475977,13.383999999999999,,,,,,,,,,,,0.00010593753735803947,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,1,64,1,1,4,73.8386,0.001370626,0.00436309,0.001385306,3.7364216316826373,11.894086247435988,3.7764403308413437,13.383999999999999,,,,,,,,,,,,0.00010240780035863719,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,1,64,1,2,3,73.8981,0.001457032,0.006256853,0.001755677,3.978374285126823,17.08411557262889,4.793813883146427,13.045,,,,,,,,,,,,0.0001116927558451514,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,1,64,1,2,4,75.4683,0.002180919,0.02254988,0.00264627,6.210673158178197,64.21601830977646,7.53586816305063,13.045,,,,,,,,,,,,0.00016718428516673055,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,1,64,1,3,4,75.2043,0.001374081,0.01493288,0.001981783,3.8856858446555393,42.22784569173128,5.604171915832464,17.052999999999997,,,,,,,,,,,,8.057708321116521e-05,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,2,128,1,0,1,90.9486,0.0003068757,0.0025402,0.0003681811,1.269183860827482,10.505819924073394,1.5227322006327293,3.0145999999999997,,,,,,,,,,,,0.00010179649041332184,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,2,128,1,0,2,90.1257,0.0002299819,0.001122723,0.0002698648,0.9340302971480554,4.559738385085766,1.0960075524804367,3.0145999999999997,,,,,,,,,,,,7.628935845551649e-05,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,2,128,1,0,3,89.837,0.0002216715,0.001137473,0.0002239455,0.8945205988900419,4.590094031850069,0.9036969695189948,3.0145999999999997,,,,,,,,,,,,7.353264114642076e-05,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,2,128,1,0,4,90.2299,0.0002778953,0.001726016,0.0002319361,1.1312332405927825,7.026123410489462,0.9441463242215744,3.0145999999999997,,,,,,,,,,,,9.218314204206197e-05,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,2,128,1,1,2,90.2669,0.0002401992,0.00153208,0.0002852199,0.9785851403514669,6.241780663006685,1.1620020211246807,3.3741,,,,,,,,,,,,7.118911709789278e-05,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,2,128,1,1,3,89.2693,0.0001897373,0.001049801,0.0002280148,0.756009023445931,4.182936243018962,0.9085258738224864,3.3741,,,,,,,,,,,,5.6233454847218526e-05,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,2,128,1,1,4,90.1544,0.000171137,0.001230501,0.0001941855,0.695485009650276,5.000642759074159,0.7891519913370205,3.3741,,,,,,,,,,,,5.0720784801873094e-05,,,,,02_geodesic,02_geodesic,,ok
cnn,mup,gelu,2,128,1,2,3,89.9078,0.0002438532,0.001202014,0.00017723,0.9855830026249182,4.858187496892345,0.7163115987619365,2.9405,,,,,,,,,,,,8.292916170719264e-05,,,,,02_geodesic,02_geodesic,,ok
