arch,regime,act,width,width_paper,seedA,seedB,t,rq_t,src,status
mlp,ntk,gelu,64,64,0,1,0.0,2.927431e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.05,3.578994e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.1,4.391798e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.15,5.248916e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.2,5.924851e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.25,6.094804e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.3,5.487937e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.35,4.177563e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.4,2.660421e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.45,1.55842e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.5,1.275027e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.55,1.869965e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.6,3.094179e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.65,4.490446e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.7,5.567196e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.75,6.00869e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.8,5.802628e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.85,5.174424e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.9,4.38591e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,0.95,3.617633e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,1,1.0,2.995427e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.0,4.732076e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.05,5.700009e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.1,6.940147e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.15,8.333003e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.2,9.594937e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.25,0.0001014888,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.3,9.296438e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.35,7.173481e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.4,4.779814e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.45,2.929815e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.5,2.011757e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.55,2.247828e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.6,3.686878e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.65,6.077126e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.7,8.723023e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.75,0.0001052905,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.8,0.0001069307,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.85,9.424053e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.9,7.600652e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,0.95,5.973586e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,2,1.0,4.7924e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.0,3.828634e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.05,4.836591e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.1,6.087664e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.15,7.41686e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.2,8.454461e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.25,8.661557e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.3,7.622554e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.35,5.503115e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.4,3.115304e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.45,1.398778e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.5,9.130729e-06,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.55,1.743546e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.6,3.579568e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.65,5.787129e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.7,7.592481e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.75,8.426602e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.8,8.19234e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.85,7.209982e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.9,5.951101e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,0.95,4.794387e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,3,1.0,3.922356e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.0,3.473485e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.05,4.456773e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.1,5.713996e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.15,7.110519e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.2,8.329724e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.25,8.895375e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.3,8.365487e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.35,6.655774e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.4,4.257717e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.45,2.106518e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.5,1.118462e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.55,1.748112e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.6,3.769496e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.65,6.361944e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.7,8.565354e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.75,9.669435e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.8,9.446084e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.85,8.228207e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.9,6.60204e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,0.95,5.042635e-05,04_profile,ok
mlp,ntk,gelu,64,64,0,4,1.0,3.784017e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.0,3.796978e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.05,4.649192e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.1,5.666312e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.15,6.604904e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.2,7.050084e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.25,6.680786e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.3,5.559963e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.35,4.074388e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.4,2.676951e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.45,1.720595e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.5,1.383278e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.55,1.700698e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.6,2.598585e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.65,3.864576e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.7,5.135852e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.75,6.012806e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.8,6.269358e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.85,5.957096e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.9,5.307736e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,0.95,4.585236e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,2,1.0,3.992707e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.0,4.756196e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.05,6.08778e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.1,8.023497e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.15,0.0001039916,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.2,0.0001250546,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.25,0.0001316251,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.3,0.0001156704,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.35,8.246549e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.4,4.671551e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.45,2.19385e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.5,1.502894e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.55,2.56654e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.6,4.810606e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.65,7.469593e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.7,9.891979e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.75,0.0001157047,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.8,0.0001200408,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.85,0.0001096638,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.9,8.985101e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,3,0.95,6.95952e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,3,1.0,5.4108e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.0,3.543218e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.05,4.799625e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.1,6.555465e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.15,8.63043e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.2,0.0001045023,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.25,0.0001113136,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.3,0.000101148,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.35,7.729594e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.4,4.889963e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.45,2.539506e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.5,1.370753e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.55,1.734455e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.6,3.579699e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.65,6.440956e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.7,9.475396e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.75,0.0001159232,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.8,0.0001195518,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.85,0.0001069457,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.9,8.68914e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,0.95,6.733308e-05,04_profile,ok
mlp,ntk,gelu,64,64,1,4,1.0,5.262651e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.0,4.568541e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.05,5.551152e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.1,6.83894e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.15,8.199534e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.2,9.192889e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.25,9.357733e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.3,8.413908e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.35,6.46064e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.4,4.184934e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.45,2.517199e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.5,2.089214e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.55,3.019374e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.6,4.886955e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.65,6.893468e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.7,8.258209e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.75,8.615621e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.8,8.102675e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.85,7.091648e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.9,5.951557e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,0.95,4.952092e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,3,1.0,4.241039e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.0,4.424375e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.05,5.578356e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.1,7.018814e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.15,8.383983e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.2,9.154943e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.25,8.93321e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.3,7.653326e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.35,5.616484e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.4,3.426642e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.45,1.759381e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.5,1.119607e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.55,1.722263e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.6,3.422282e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.65,5.732098e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.7,7.964511e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.75,9.402197e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.8,9.608675e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.85,8.772842e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.9,7.45513e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,0.95,6.091186e-05,04_profile,ok
mlp,ntk,gelu,64,64,2,4,1.0,4.900563e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.0,3.906769e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.05,4.732342e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.1,5.793316e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.15,6.874981e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.2,7.630929e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.25,7.697128e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.3,6.87058e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.35,5.274594e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.4,3.361887e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.45,1.760242e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.5,1.042431e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.55,1.512677e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.6,3.07129e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.65,5.203115e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.7,7.140355e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.75,8.195774e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.8,8.104261e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.85,7.111217e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.9,5.744384e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,0.95,4.459823e-05,04_profile,ok
mlp,ntk,gelu,64,64,3,4,1.0,3.459229e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.0,2.197692e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.05,2.774298e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.1,3.470169e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.15,4.145608e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.2,4.579956e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.25,4.569325e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.3,4.021081e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.35,3.026437e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.4,1.87154e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.45,9.439579e-06,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.5,5.798225e-06,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.55,9.3607e-06,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.6,1.904318e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.65,3.113396e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.7,4.136937e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.75,4.711212e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.8,4.744434e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.85,4.298226e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.9,3.570693e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,0.95,2.803815e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,1,1.0,2.160681e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.0,1.706387e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.05,2.18032e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.1,2.752899e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.15,3.335102e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.2,3.749387e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.25,3.778757e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.3,3.300694e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.35,2.414666e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.4,1.420656e-05,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.45,6.666125e-06,04_profile,ok
mlp,ntk,gelu,128,128,0,2,0.5,4.087063e-06,04_profile,ok
