cell,pair,B_paper_grid41,B_grid401,rel_pct,t_star_41,t_star_401
mup_gelu_w1024,01,1.137460e-03,1.137644e-03,0.0162,0.50000,0.49750
mup_gelu_w1024,02,1.415441e-03,1.415469e-03,0.0020,0.50000,0.50250
mup_gelu_w1024,03,1.385242e-03,1.388899e-03,0.2640,0.52500,0.51250
mup_gelu_w1024,04,1.202048e-03,1.206256e-03,0.3501,0.47500,0.48750
mup_gelu_w2048,01,6.125501e-04,6.125501e-04,0.0000,0.50000,0.50000
mup_gelu_w2048,02,6.611803e-04,6.626224e-04,0.2181,0.50000,0.51000
mup_gelu_w2048,03,6.118792e-04,6.126930e-04,0.1330,0.50000,0.50750
mup_gelu_w2048,04,6.651905e-04,6.654439e-04,0.0381,0.50000,0.50500
mup_gelu_w256,01,7.020476e-03,7.021547e-03,0.0153,0.50000,0.50250
mup_gelu_w256,02,7.285431e-03,7.293175e-03,0.1063,0.50000,0.49250
mup_gelu_w256,03,6.662338e-03,6.662815e-03,0.0072,0.50000,0.50250
mup_gelu_w256,04,5.686031e-03,5.695949e-03,0.1744,0.50000,0.49000
mup_gelu_w4096,01,4.751415e-04,4.752451e-04,0.0218,0.50000,0.49750
mup_gelu_w4096,02,6.016185e-04,6.016185e-04,0.0000,0.50000,0.50000
mup_gelu_w4096,03,4.641598e-04,4.643582e-04,0.0428,0.50000,0.49500
mup_gelu_w4096,04,5.288691e-04,5.292067e-04,0.0638,0.50000,0.50750
mup_gelu_w512,01,2.154976e-03,2.157645e-03,0.1239,0.50000,0.50750
mup_gelu_w512,02,2.186529e-03,2.188271e-03,0.0797,0.50000,0.50500
mup_gelu_w512,03,2.392523e-03,2.395408e-03,0.1206,0.50000,0.50750
mup_gelu_w512,04,2.688191e-03,2.688474e-03,0.0105,0.50000,0.50250
mup_gelu_w64,01,1.414031e-01,1.414143e-01,0.0079,0.50000,0.50250
mup_gelu_w64,02,8.105573e-02,8.108584e-02,0.0371,0.50000,0.49500
mup_gelu_w64,03,5.338313e-02,5.351948e-02,0.2554,0.50000,0.48750
mup_gelu_w64,04,1.002096e-01,1.002102e-01,0.0006,0.47500,0.47250
mup_tanh_w1024,01,1.011026e-02,1.011678e-02,0.0646,0.47500,0.48000
mup_tanh_w1024,02,1.202682e-02,1.204451e-02,0.1471,0.50000,0.50750
mup_tanh_w1024,03,1.136417e-02,1.138778e-02,0.2078,0.47500,0.48500
mup_tanh_w1024,04,1.157796e-02,1.161120e-02,0.2871,0.47500,0.48750
mup_tanh_w128,01,6.040008e-02,6.040008e-02,0.0000,0.50000,0.50000
mup_tanh_w128,02,4.333308e-02,4.336953e-02,0.0841,0.50000,0.49250
mup_tanh_w128,03,7.041909e-02,7.042122e-02,0.0030,0.50000,0.50250
mup_tanh_w128,04,4.470224e-02,4.470224e-02,0.0000,0.52500,0.52500
mup_tanh_w2048,01,7.324103e-03,7.324103e-03,0.0000,0.50000,0.50000
mup_tanh_w2048,02,7.009615e-03,7.016879e-03,0.1036,0.47500,0.48250
mup_tanh_w2048,03,7.208045e-03,7.208045e-03,0.0000,0.50000,0.50000
mup_tanh_w2048,04,6.534375e-03,6.549560e-03,0.2324,0.50000,0.48750
mup_tanh_w256,01,3.011856e-02,3.015324e-02,0.1151,0.47500,0.48250
mup_tanh_w256,02,2.262325e-02,2.264525e-02,0.0973,0.50000,0.50750
mup_tanh_w256,03,2.947363e-02,2.951521e-02,0.1411,0.50000,0.49000
mup_tanh_w256,04,2.799618e-02,2.804534e-02,0.1756,0.47500,0.48500
mup_tanh_w4096,01,6.180578e-03,6.183766e-03,0.0516,0.52500,0.52000
mup_tanh_w4096,02,5.281041e-03,5.290419e-03,0.1776,0.52500,0.51500
mup_tanh_w4096,03,6.048211e-03,6.054154e-03,0.0983,0.50000,0.51250
