kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status,_src
net,0,ntk,relu,1,0.0,,,0.8827,,,,,0.4125,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,1,1.0,,,0.8884,,,,,0.4137,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,1,2.0,,,0.8845,,,,,0.4068,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,1,3.0,,,0.879,,,,,0.4117,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,1,4.0,,,0.8813,,,,,0.4051,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,2,0.0,,,0.8909,,,,,0.2198,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,2,1.0,,,0.8856,,,,,0.2227,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,2,2.0,,,0.8836,,,,,0.2198,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,2,3.0,,,0.8888,,,,,0.2217,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,2,4.0,,,0.8799,,,,,0.2204,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,4,0.0,,,0.8872,,,,,0.1158,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,4,1.0,,,0.8863,,,,,0.1164,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,4,2.0,,,0.8883,,,,,0.1197,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,4,3.0,,,0.8887,,,,,0.1174,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,4,4.0,,,0.8872,,,,,0.1173,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,8,0.0,,,0.8916,,,,,0.063,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,8,1.0,,,0.8872,,,,,0.0624,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,8,2.0,,,0.8868,,,,,0.063,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,8,3.0,,,0.8889,,,,,0.0629,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,relu,8,4.0,,,0.8866,,,,,0.0625,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,1,0.0,,,0.8808,,,,0.53384,0.4085,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,1,1.0,,,0.8847,,,,1.979246,0.3981,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,1,2.0,,,0.8814,,,,1.215369,0.4037,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,1,3.0,,,0.8874,,,,0.804662,0.4208,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,1,4.0,,,0.8863,,,,0.894314,0.4153,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,2,0.0,,,0.8874,,,,0.343023,0.2178,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,2,1.0,,,0.8843,,,,0.714003,0.2207,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,2,2.0,,,0.8855,,,,0.825417,0.2157,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,2,3.0,,,0.8885,,,,0.278964,0.2185,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,2,4.0,,,0.8861,,,,0.27852,0.2228,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,4,0.0,,,0.8916,,,,0.276313,0.1172,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,4,1.0,,,0.8878,,,,0.600026,0.1155,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,4,2.0,,,0.8866,,,,0.194313,0.1162,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,4,3.0,,,0.8856,,,,0.530576,0.1157,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,4,4.0,,,0.8862,,,,0.342161,0.1157,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,8,0.0,,,0.8865,,,,0.181632,0.0625,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,8,1.0,,,0.8888,,,,4.547216,0.063,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,8,2.0,,,0.8878,,,,0.146185,0.0635,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,8,3.0,,,0.8854,,,,0.307171,0.0635,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,gelu,8,4.0,,,0.8862,,,,0.116377,0.0629,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,1,0.0,,,0.8528,,,,0.947997,0.5232,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,1,1.0,,,0.8512,,,,0.542084,0.5128,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,1,2.0,,,0.852,,,,0.763426,0.5127,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,1,3.0,,,0.8445,,,,0.411511,0.5209,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,1,4.0,,,0.8582,,,,298.259399,0.5238,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,2,0.0,,,0.8532,,,,0.258706,0.2715,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,2,1.0,,,0.8603,,,,0.503041,0.2778,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,2,2.0,,,0.8541,,,,0.21351,0.2714,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,2,3.0,,,0.8478,,,,0.467698,0.2725,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,2,4.0,,,0.8482,,,,0.196381,0.2752,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,4,0.0,,,0.8455,,,,0.112236,0.1419,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,4,1.0,,,0.8433,,,,0.08198,0.1407,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,4,2.0,,,0.8519,,,,0.148866,0.1406,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,4,3.0,,,0.846,,,,0.07366,0.1406,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,4,4.0,,,0.8489,,,,0.126155,0.1389,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,8,0.0,,,0.8316,,,,0.032987,0.0716,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,8,1.0,,,0.8389,,,,0.062491,0.0715,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,8,2.0,,,0.8348,,,,0.039484,0.0713,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,8,3.0,,,0.8362,,,,0.035848,0.0712,100,ok,param_cnn_v2_shard0.csv
net,0,ntk,tanh,8,4.0,,,0.8332,,,,4.088213,0.0717,100,ok,param_cnn_v2_shard0.csv
net,1,ntk,swish,1,0.0,,,0.8869,,,,1.270477,0.4073,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,1,1.0,,,0.882,,,,0.450844,0.4136,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,1,2.0,,,0.884,,,,0.434438,0.4074,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,1,3.0,,,0.8837,,,,0.413268,0.4049,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,1,4.0,,,0.8787,,,,0.514879,0.4131,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,2,0.0,,,0.8871,,,,0.279877,0.2205,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,2,1.0,,,0.887,,,,0.200231,0.2205,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,2,2.0,,,0.8853,,,,0.936024,0.2187,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,2,3.0,,,0.8856,,,,0.212011,0.2193,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,2,4.0,,,0.8834,,,,0.290344,0.2166,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,4,0.0,,,0.888,,,,0.26433,0.1178,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,4,1.0,,,0.8893,,,,3.324063,0.1181,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,4,2.0,,,0.8897,,,,0.173981,0.1183,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,4,3.0,,,0.89,,,,0.327754,0.1199,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,4,4.0,,,0.8892,,,,0.244616,0.116,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,8,0.0,,,0.8861,,,,0.115135,0.0631,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,8,1.0,,,0.8828,,,,0.997653,0.0636,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,8,2.0,,,0.8813,,,,0.160535,0.0626,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,8,3.0,,,0.8866,,,,0.238873,0.0624,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,swish,8,4.0,,,0.8864,,,,0.135776,0.0629,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,1,0.0,,,0.8766,,,,0.24168,0.4264,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,1,1.0,,,0.8699,,,,4.420518,0.422,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,1,2.0,,,0.8743,,,,8.495915,0.4185,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,1,3.0,,,0.88,,,,0.460622,0.4315,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,1,4.0,,,0.8738,,,,0.276397,0.4192,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,2,0.0,,,0.877,,,,0.172331,0.226,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,2,1.0,,,0.8822,,,,0.304781,0.224,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,2,2.0,,,0.88,,,,0.228375,0.2277,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,2,3.0,,,0.8747,,,,13.386504,0.2241,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,2,4.0,,,0.8774,,,,0.231181,0.2274,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,4,0.0,,,0.8769,,,,0.132954,0.1221,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,4,1.0,,,0.874,,,,0.110734,0.1223,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,4,2.0,,,0.8745,,,,0.152928,0.1224,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,4,3.0,,,0.8754,,,,0.092685,0.1238,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,4,4.0,,,0.8745,,,,52.147743,0.1243,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,8,0.0,,,0.8756,,,,0.084896,0.0677,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,8,1.0,,,0.8762,,,,40.95507,0.0668,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,8,2.0,,,0.8702,,,,0.040468,0.0664,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,8,3.0,,,0.8684,,,,0.055639,0.0658,100,ok,param_cnn_v2_shard1.csv
net,1,ntk,softplus,8,4.0,,,0.8739,,,,0.076195,0.0666,100,ok,param_cnn_v2_shard1.csv
net,2,sp,relu,1,0.0,,,0.914,,,,,3.1342,100,ok,param_cnn_v2_shard2.csv
net,2,sp,relu,1,1.0,,,0.9122,,,,,3.1872,100,ok,param_cnn_v2_shard2.csv
net,2,sp,relu,1,2.0,,,0.9138,,,,,3.1788,100,ok,param_cnn_v2_shard2.csv
