kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status
net,4,mup,relu,1,0,,,0.9121,,,,,4.2349,100,ok
net,4,mup,relu,1,1,,,0.913,,,,,4.0899,100,ok
net,4,mup,relu,1,2,,,0.909,,,,,4.1377,100,ok
net,4,mup,relu,1,3,,,0.9102,,,,,4.1831,100,ok
net,4,mup,relu,1,4,,,0.9088,,,,,4.1314,100,ok
pair,4,mup,relu,1,,0,1,,0.9121,0.913,2.2593,,,100,ok
pair,4,mup,relu,1,,0,2,,0.9121,0.909,0.8889,,,100,ok
pair,4,mup,relu,1,,0,3,,0.9121,0.9102,1.5537,,,100,ok
pair,4,mup,relu,1,,0,4,,0.9121,0.9088,0.8573,,,100,ok
pair,4,mup,relu,1,,1,2,,0.913,0.909,1.3491,,,100,ok
pair,4,mup,relu,1,,1,3,,0.913,0.9102,2.6823,,,100,ok
pair,4,mup,relu,1,,1,4,,0.913,0.9088,1.5713,,,100,ok
pair,4,mup,relu,1,,2,3,,0.909,0.9102,1.3073,,,100,ok
pair,4,mup,relu,1,,2,4,,0.909,0.9088,3.1275,,,100,ok
pair,4,mup,relu,1,,3,4,,0.9102,0.9088,3.0784,,,100,ok
net,4,mup,relu,2,0,,,0.9183,,,,,3.6281,100,ok
net,4,mup,relu,2,1,,,0.9157,,,,,3.6477,100,ok
net,4,mup,relu,2,2,,,0.9151,,,,,3.6241,100,ok
net,4,mup,relu,2,3,,,0.9151,,,,,3.6265,100,ok
net,4,mup,relu,2,4,,,0.9155,,,,,3.6372,100,ok
pair,4,mup,relu,2,,0,1,,0.9183,0.9157,1.0742,,,100,ok
pair,4,mup,relu,2,,0,2,,0.9183,0.9151,0.4303,,,100,ok
pair,4,mup,relu,2,,0,3,,0.9183,0.9151,0.7955,,,100,ok
pair,4,mup,relu,2,,0,4,,0.9183,0.9155,0.8654,,,100,ok
pair,4,mup,relu,2,,1,2,,0.9157,0.9151,0.6509,,,100,ok
pair,4,mup,relu,2,,1,3,,0.9157,0.9151,0.5058,,,100,ok
pair,4,mup,relu,2,,1,4,,0.9157,0.9155,0.5709,,,100,ok
pair,4,mup,relu,2,,2,3,,0.9151,0.9151,0.5591,,,100,ok
pair,4,mup,relu,2,,2,4,,0.9151,0.9155,0.6729,,,100,ok
pair,4,mup,relu,2,,3,4,,0.9151,0.9155,0.777,,,100,ok
net,4,mup,relu,4,0,,,0.9205,,,,,3.1092,100,ok
net,4,mup,relu,4,1,,,0.9171,,,,,3.1179,100,ok
net,4,mup,relu,4,2,,,0.9172,,,,,3.121,100,ok
net,4,mup,relu,4,3,,,0.9206,,,,,3.1167,100,ok
net,4,mup,relu,4,4,,,0.9173,,,,,3.1192,100,ok
pair,4,mup,relu,4,,0,1,,0.9205,0.9171,0.3309,,,100,ok
pair,4,mup,relu,4,,0,2,,0.9205,0.9172,0.3145,,,100,ok
pair,4,mup,relu,4,,0,3,,0.9205,0.9206,0.2918,,,100,ok
pair,4,mup,relu,4,,0,4,,0.9205,0.9173,0.3353,,,100,ok
pair,4,mup,relu,4,,1,2,,0.9171,0.9172,0.3096,,,100,ok
pair,4,mup,relu,4,,1,3,,0.9171,0.9206,0.4092,,,100,ok
pair,4,mup,relu,4,,1,4,,0.9171,0.9173,0.2783,,,100,ok
pair,4,mup,relu,4,,2,3,,0.9172,0.9206,0.3244,,,100,ok
pair,4,mup,relu,4,,2,4,,0.9172,0.9173,0.3471,,,100,ok
pair,4,mup,relu,4,,3,4,,0.9206,0.9173,0.4062,,,100,ok
net,4,mup,relu,8,0,,,0.9221,,,,,2.7426,100,ok
net,4,mup,relu,8,1,,,0.9198,,,,,2.7588,100,ok
net,4,mup,relu,8,2,,,0.9227,,,,,2.7531,100,ok
net,4,mup,relu,8,3,,,0.9229,,,,,2.7612,100,ok
net,4,mup,relu,8,4,,,0.9193,,,,,2.7359,100,ok
pair,4,mup,relu,8,,0,1,,0.9221,0.9198,0.1768,,,100,ok
pair,4,mup,relu,8,,0,2,,0.9221,0.9227,0.2604,,,100,ok
pair,4,mup,relu,8,,0,3,,0.9221,0.9229,0.1729,,,100,ok
pair,4,mup,relu,8,,0,4,,0.9221,0.9193,0.1639,,,100,ok
pair,4,mup,relu,8,,1,2,,0.9198,0.9227,0.1913,,,100,ok
pair,4,mup,relu,8,,1,3,,0.9198,0.9229,0.2002,,,100,ok
pair,4,mup,relu,8,,1,4,,0.9198,0.9193,0.2212,,,100,ok
pair,4,mup,relu,8,,2,3,,0.9227,0.9229,0.1946,,,100,ok
pair,4,mup,relu,8,,2,4,,0.9227,0.9193,0.1415,,,100,ok
pair,4,mup,relu,8,,3,4,,0.9229,0.9193,0.1599,,,100,ok
net,4,mup,gelu,1,0,,,0.9099,,,,4.284283,4.1103,100,ok
net,4,mup,gelu,1,1,,,0.9132,,,,3.543494,4.0742,100,ok
net,4,mup,gelu,1,2,,,0.9102,,,,5.938237,4.099,100,ok
net,4,mup,gelu,1,3,,,0.9112,,,,8.385318,4.1277,100,ok
net,4,mup,gelu,1,4,,,0.9101,,,,5.34048,4.0984,100,ok
pair,4,mup,gelu,1,,0,1,,0.9099,0.9132,1.1696,,,100,ok
pair,4,mup,gelu,1,,0,2,,0.9099,0.9102,2.0271,,,100,ok
pair,4,mup,gelu,1,,0,3,,0.9099,0.9112,3.1818,,,100,ok
pair,4,mup,gelu,1,,0,4,,0.9099,0.9101,4.6068,,,100,ok
pair,4,mup,gelu,1,,1,2,,0.9132,0.9102,1.3175,,,100,ok
pair,4,mup,gelu,1,,1,3,,0.9132,0.9112,3.4246,,,100,ok
pair,4,mup,gelu,1,,1,4,,0.9132,0.9101,1.4163,,,100,ok
pair,4,mup,gelu,1,,2,3,,0.9102,0.9112,1.9157,,,100,ok
pair,4,mup,gelu,1,,2,4,,0.9102,0.9101,2.7652,,,100,ok
pair,4,mup,gelu,1,,3,4,,0.9112,0.9101,2.7931,,,100,ok
net,4,mup,gelu,2,0,,,0.9152,,,,0.8258,3.451,100,ok
net,4,mup,gelu,2,1,,,0.9127,,,,1.464916,3.4435,100,ok
net,4,mup,gelu,2,2,,,0.9164,,,,5.622135,3.4522,100,ok
net,4,mup,gelu,2,3,,,0.9144,,,,5.305651,3.4284,100,ok
net,4,mup,gelu,2,4,,,0.9143,,,,1.318036,3.4194,100,ok
pair,4,mup,gelu,2,,0,1,,0.9152,0.9127,0.8664,,,100,ok
pair,4,mup,gelu,2,,0,2,,0.9152,0.9164,0.939,,,100,ok
pair,4,mup,gelu,2,,0,3,,0.9152,0.9144,0.7244,,,100,ok
pair,4,mup,gelu,2,,0,4,,0.9152,0.9143,0.6143,,,100,ok
pair,4,mup,gelu,2,,1,2,,0.9127,0.9164,1.1901,,,100,ok
pair,4,mup,gelu,2,,1,3,,0.9127,0.9144,0.533,,,100,ok
pair,4,mup,gelu,2,,1,4,,0.9127,0.9143,0.6496,,,100,ok
pair,4,mup,gelu,2,,2,3,,0.9164,0.9144,0.6405,,,100,ok
pair,4,mup,gelu,2,,2,4,,0.9164,0.9143,0.7153,,,100,ok
pair,4,mup,gelu,2,,3,4,,0.9144,0.9143,0.5166,,,100,ok
net,4,mup,gelu,4,0,,,0.9192,,,,0.701008,2.8544,100,ok
net,4,mup,gelu,4,1,,,0.9196,,,,0.458814,2.8557,100,ok
net,4,mup,gelu,4,2,,,0.9186,,,,0.562404,2.8543,100,ok
net,4,mup,gelu,4,3,,,0.9193,,,,0.417053,2.8615,100,ok
net,4,mup,gelu,4,4,,,0.9202,,,,0.446252,2.8674,100,ok
