kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status,_src
net,0,ntk,relu,64,0.0,,,0.9262,,,,,0.1818,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,64,1.0,,,0.9276,,,,,0.1858,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,64,2.0,,,0.9226,,,,,0.1864,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,64,3.0,,,0.9253,,,,,0.184,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,64,4.0,,,0.9227,,,,,0.1849,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,128,0.0,,,0.9186,,,,,0.1361,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,128,1.0,,,0.9228,,,,,0.132,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,128,2.0,,,0.9226,,,,,0.133,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,128,3.0,,,0.9208,,,,,0.1324,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,128,4.0,,,0.9211,,,,,0.1331,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,256,0.0,,,0.9203,,,,,0.0919,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,256,1.0,,,0.9212,,,,,0.0918,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,256,2.0,,,0.922,,,,,0.0927,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,256,3.0,,,0.9205,,,,,0.094,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,256,4.0,,,0.9192,,,,,0.093,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,512,0.0,,,0.9175,,,,,0.0618,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,512,1.0,,,0.9174,,,,,0.0605,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,512,2.0,,,0.9212,,,,,0.0613,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,512,3.0,,,0.9198,,,,,0.062,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,512,4.0,,,0.9181,,,,,0.0613,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,1024,0.0,,,0.9192,,,,,0.0381,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,1024,1.0,,,0.9174,,,,,0.038,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,1024,2.0,,,0.9182,,,,,0.0385,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,1024,3.0,,,0.9205,,,,,0.0376,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,1024,4.0,,,0.9187,,,,,0.0391,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,2048,0.0,,,0.9172,,,,,0.0222,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,2048,1.0,,,0.9197,,,,,0.0219,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,2048,2.0,,,0.9171,,,,,0.0223,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,2048,3.0,,,0.9152,,,,,0.0222,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,2048,4.0,,,0.9182,,,,,0.0222,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,4096,0.0,,,0.9166,,,,,0.0123,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,4096,1.0,,,0.9164,,,,,0.0124,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,4096,2.0,,,0.9184,,,,,0.0123,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,4096,3.0,,,0.9168,,,,,0.0123,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,relu,4096,4.0,,,0.9171,,,,,0.0122,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,64,0.0,,,0.9284,,,,0.002484,0.1867,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,64,1.0,,,0.9323,,,,0.002039,0.1887,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,64,2.0,,,0.9248,,,,0.003014,0.1881,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,64,3.0,,,0.9281,,,,0.003285,0.1861,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,64,4.0,,,0.932,,,,0.002793,0.1852,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,128,0.0,,,0.9245,,,,0.001504,0.1293,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,128,1.0,,,0.9259,,,,0.001419,0.1301,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,128,2.0,,,0.9255,,,,0.001464,0.1294,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,128,3.0,,,0.9256,,,,0.001711,0.131,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,128,4.0,,,0.9246,,,,0.001441,0.128,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,256,0.0,,,0.9241,,,,0.000734,0.0915,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,256,1.0,,,0.923,,,,0.000723,0.09,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,256,2.0,,,0.9261,,,,0.000739,0.0901,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,256,3.0,,,0.9224,,,,0.000897,0.0906,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,256,4.0,,,0.9256,,,,0.000996,0.0902,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,512,0.0,,,0.9208,,,,0.000372,0.0603,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,512,1.0,,,0.9201,,,,0.000345,0.06,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,512,2.0,,,0.9187,,,,0.000337,0.06,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,512,3.0,,,0.9222,,,,0.000431,0.059,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,512,4.0,,,0.9218,,,,0.00044,0.06,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,1024,0.0,,,0.9199,,,,0.000177,0.0377,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,1024,1.0,,,0.9216,,,,0.00016,0.0376,30,ok,param_mlp_v2_shard0.csv
net,0,ntk,gelu,1024,2.0,,,0.9208,,,,0.000181,0.0372,30,ok,param_mlp_v2_shard0.csv
