kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status
net,4,mup,relu,64,0,,,0.9805,,,,,1.8162,30,ok
net,4,mup,relu,64,1,,,0.9813,,,,,1.8441,30,ok
net,4,mup,relu,64,2,,,0.9798,,,,,1.8414,30,ok
net,4,mup,relu,64,3,,,0.9797,,,,,1.8506,30,ok
net,4,mup,relu,64,4,,,0.9817,,,,,1.8531,30,ok
pair,4,mup,relu,64,,0,1,,0.9805,0.9813,0.0898,,,30,ok
pair,4,mup,relu,64,,0,2,,0.9805,0.9798,0.064,,,30,ok
pair,4,mup,relu,64,,0,3,,0.9805,0.9797,0.0706,,,30,ok
pair,4,mup,relu,64,,0,4,,0.9805,0.9817,0.06,,,30,ok
pair,4,mup,relu,64,,1,2,,0.9813,0.9798,0.0585,,,30,ok
pair,4,mup,relu,64,,1,3,,0.9813,0.9797,0.0724,,,30,ok
pair,4,mup,relu,64,,1,4,,0.9813,0.9817,0.0737,,,30,ok
pair,4,mup,relu,64,,2,3,,0.9798,0.9797,0.0581,,,30,ok
pair,4,mup,relu,64,,2,4,,0.9798,0.9817,0.0571,,,30,ok
pair,4,mup,relu,64,,3,4,,0.9797,0.9817,0.072,,,30,ok
net,4,mup,relu,128,0,,,0.9835,,,,,1.725,30,ok
net,4,mup,relu,128,1,,,0.9845,,,,,1.729,30,ok
net,4,mup,relu,128,2,,,0.9848,,,,,1.7242,30,ok
net,4,mup,relu,128,3,,,0.9831,,,,,1.7165,30,ok
net,4,mup,relu,128,4,,,0.9842,,,,,1.7276,30,ok
pair,4,mup,relu,128,,0,1,,0.9835,0.9845,0.0195,,,30,ok
pair,4,mup,relu,128,,0,2,,0.9835,0.9848,0.0208,,,30,ok
pair,4,mup,relu,128,,0,3,,0.9835,0.9831,0.0224,,,30,ok
pair,4,mup,relu,128,,0,4,,0.9835,0.9842,0.0233,,,30,ok
pair,4,mup,relu,128,,1,2,,0.9845,0.9848,0.0192,,,30,ok
pair,4,mup,relu,128,,1,3,,0.9845,0.9831,0.018,,,30,ok
pair,4,mup,relu,128,,1,4,,0.9845,0.9842,0.0271,,,30,ok
pair,4,mup,relu,128,,2,3,,0.9848,0.9831,0.0229,,,30,ok
pair,4,mup,relu,128,,2,4,,0.9848,0.9842,0.0229,,,30,ok
pair,4,mup,relu,128,,3,4,,0.9831,0.9842,0.0187,,,30,ok
net,4,mup,relu,256,0,,,0.9875,,,,,1.6567,30,ok
net,4,mup,relu,256,1,,,0.9861,,,,,1.6363,30,ok
net,4,mup,relu,256,2,,,0.9848,,,,,1.6377,30,ok
net,4,mup,relu,256,3,,,0.9861,,,,,1.6542,30,ok
net,4,mup,relu,256,4,,,0.9844,,,,,1.6164,30,ok
pair,4,mup,relu,256,,0,1,,0.9875,0.9861,0.0089,,,30,ok
pair,4,mup,relu,256,,0,2,,0.9875,0.9848,0.0079,,,30,ok
pair,4,mup,relu,256,,0,3,,0.9875,0.9861,0.0089,,,30,ok
pair,4,mup,relu,256,,0,4,,0.9875,0.9844,0.0077,,,30,ok
pair,4,mup,relu,256,,1,2,,0.9861,0.9848,0.0062,,,30,ok
pair,4,mup,relu,256,,1,3,,0.9861,0.9861,0.0075,,,30,ok
pair,4,mup,relu,256,,1,4,,0.9861,0.9844,0.0078,,,30,ok
pair,4,mup,relu,256,,2,3,,0.9848,0.9861,0.0078,,,30,ok
pair,4,mup,relu,256,,2,4,,0.9848,0.9844,0.0073,,,30,ok
pair,4,mup,relu,256,,3,4,,0.9861,0.9844,0.0097,,,30,ok
net,4,mup,relu,512,0,,,0.9863,,,,,1.6235,30,ok
net,4,mup,relu,512,1,,,0.986,,,,,1.6161,30,ok
net,4,mup,relu,512,2,,,0.9867,,,,,1.5952,30,ok
net,4,mup,relu,512,3,,,0.9868,,,,,1.602,30,ok
net,4,mup,relu,512,4,,,0.9871,,,,,1.6142,30,ok
pair,4,mup,relu,512,,0,1,,0.9863,0.986,0.0031,,,30,ok
pair,4,mup,relu,512,,0,2,,0.9863,0.9867,0.0033,,,30,ok
pair,4,mup,relu,512,,0,3,,0.9863,0.9868,0.0032,,,30,ok
pair,4,mup,relu,512,,0,4,,0.9863,0.9871,0.0037,,,30,ok
pair,4,mup,relu,512,,1,2,,0.986,0.9867,0.0027,,,30,ok
pair,4,mup,relu,512,,1,3,,0.986,0.9868,0.0033,,,30,ok
pair,4,mup,relu,512,,1,4,,0.986,0.9871,0.0027,,,30,ok
pair,4,mup,relu,512,,2,3,,0.9867,0.9868,0.002,,,30,ok
pair,4,mup,relu,512,,2,4,,0.9867,0.9871,0.0031,,,30,ok
pair,4,mup,relu,512,,3,4,,0.9868,0.9871,0.0022,,,30,ok
net,4,mup,relu,1024,0,,,0.9874,,,,,1.6306,30,ok
net,4,mup,relu,1024,1,,,0.9872,,,,,1.5989,30,ok
net,4,mup,relu,1024,2,,,0.9871,,,,,1.6225,30,ok
net,4,mup,relu,1024,3,,,0.9866,,,,,1.6076,30,ok
net,4,mup,relu,1024,4,,,0.9854,,,,,1.6092,30,ok
