kind,shard,regime,act,width,seed,seedA,seedB,acc,accA,accB,barrier,dF_op,wmove,epochs,status,_src
net,0,ntk,relu,64,0.0,,,0.6503,,,,,0.3522,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,64,1.0,,,0.6523,,,,,0.357,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,64,2.0,,,0.6465,,,,,0.3523,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,64,3.0,,,0.6566,,,,,0.3611,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,64,4.0,,,0.6535,,,,,0.3494,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,128,0.0,,,0.6497,,,,,0.219,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,128,1.0,,,0.6508,,,,,0.221,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,128,2.0,,,0.6488,,,,,0.2191,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,128,3.0,,,0.6527,,,,,0.2204,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,128,4.0,,,0.6501,,,,,0.2219,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,256,0.0,,,0.6468,,,,,0.1317,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,256,1.0,,,0.6457,,,,,0.1288,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,256,2.0,,,0.6491,,,,,0.1304,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,256,3.0,,,0.6476,,,,,0.1318,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,256,4.0,,,0.6464,,,,,0.1319,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,512,0.0,,,0.6456,,,,,0.0754,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,512,1.0,,,0.6411,,,,,0.0736,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,512,2.0,,,0.6438,,,,,0.0738,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,512,3.0,,,0.6463,,,,,0.0734,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,512,4.0,,,0.6476,,,,,0.0732,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,1024,0.0,,,0.6484,,,,,0.0405,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,1024,1.0,,,0.6491,,,,,0.0399,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,1024,2.0,,,0.6477,,,,,0.0403,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,1024,3.0,,,0.6449,,,,,0.0403,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,1024,4.0,,,0.6432,,,,,0.0403,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,2048,0.0,,,0.6451,,,,,0.0217,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,2048,1.0,,,0.6483,,,,,0.0215,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,2048,2.0,,,0.645,,,,,0.0215,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,2048,3.0,,,0.6463,,,,,0.0216,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,2048,4.0,,,0.6448,,,,,0.0215,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,4096,0.0,,,0.644,,,,,0.0112,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,4096,1.0,,,0.6421,,,,,0.0112,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,4096,2.0,,,0.6463,,,,,0.0111,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,4096,3.0,,,0.6468,,,,,0.0111,100,ok,param_ts_v2_shard0.csv
net,0,ntk,relu,4096,4.0,,,0.6472,,,,,0.0112,100,ok,param_ts_v2_shard0.csv
net,0,ntk,gelu,64,0.0,,,0.6499,,,,0.024212,0.3571,100,ok,param_ts_v2_shard0.csv
net,0,ntk,gelu,64,1.0,,,0.6608,,,,0.028426,0.3668,100,ok,param_ts_v2_shard0.csv
net,0,ntk,gelu,64,2.0,,,0.6541,,,,0.02267,0.3585,100,ok,param_ts_v2_shard0.csv
net,0,ntk,gelu,64,3.0,,,0.6555,,,,0.026504,0.3633,100,ok,param_ts_v2_shard0.csv
